Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.7915283,0.012815702,253.5,-11.843328793843588,-11.843328793843588,1.0
2000,1.7914593,0.028245369,106.88888888888889,-1.9489974975585938,-1.9489974975585938,1.0
3000,1.7839714,-0.06850195,137.28571428571428,-2.5714259147644043,-2.5714259147644043,1.0
4000,1.7841979,-0.07384148,204.8,-8.481995868682862,-8.481995868682862,1.0
5000,1.7692667,-0.27838063,136.0,-2.6999971526009694,-2.6999971526009694,1.0
6000,1.7679251,-0.26951233,147.28571428571428,-3.6714257512773787,-3.6714257512773787,1.0
7000,1.7519732,-0.35804024,156.66666666666666,-4.591663360595703,-4.591663360595703,1.0
8000,1.7499696,-0.3529704,172.33333333333334,-6.7466630935668945,-6.7466630935668945,1.0
9000,1.7435944,-0.4410465,154.0,-5.164997021357219,-5.164997021357219,1.0
10000,1.7420526,-0.47379506,230.25,-10.559995293617249,-10.559995293617249,1.0
11000,1.7302619,-0.6326324,95.81818181818181,1.278183720328591,1.278183720328591,1.0
12000,1.7259023,-0.6355003,160.83333333333334,-5.014997084935506,-5.014997084935506,1.0
13000,1.7057623,-0.62800425,125.375,-1.9437475204467773,-1.9437475204467773,1.0
14000,1.691029,-0.5609236,83.84615384615384,2.0961552399855394,2.0961552399855394,1.0
15000,1.6651895,-0.592236,96.8,0.6140020370483399,0.6140020370483399,1.0
16000,1.6414372,-0.6375669,101.0,0.18300185203552247,0.18300185203552247,1.0
17000,1.6285162,-0.57870835,84.16666666666667,1.946668306986491,1.946668306986491,1.0
18000,1.6139538,-0.5366481,85.45454545454545,1.873638023029674,1.873638023029674,1.0
19000,1.5952835,-0.5326235,78.53846153846153,2.405385971069336,2.405385971069336,1.0
20000,1.5542451,-0.50361156,50.785714285714285,5.502143570355007,5.502143570355007,1.0
21000,1.5306071,-0.48780125,97.6923076923077,1.219232705923227,1.219232705923227,1.0
22000,1.4877015,-0.39008158,37.370370370370374,6.408846836823684,6.408846836823684,1.0
23000,1.4710228,-0.3072161,40.75,6.241667330265045,6.241667330265045,1.0
24000,1.4380465,-0.119589515,48.3,5.717500782012939,5.717500782012939,1.0
25000,1.4335215,-0.08076956,40.375,5.923334022363027,5.923334022363027,1.0
26000,1.402194,0.15018648,34.714285714285715,6.722143377576556,6.722143377576556,1.0
27000,1.4243604,0.09759183,40.13636363636363,6.2352181102918545,6.2352181102918545,1.0
28000,1.4337425,0.30459794,52.25,4.992000961303711,4.992000961303711,1.0
29000,1.4267446,0.29758275,40.04347826086956,6.369565860084865,6.369565860084865,1.0
30000,1.3694247,0.50353616,36.55172413793103,6.383571982383728,6.383571982383728,1.0
31000,1.3739421,0.47823384,37.57692307692308,6.3973083679492655,6.3973083679492655,1.0
32000,1.2636387,0.7340067,22.093023255813954,8.023023583168207,8.023023583168207,1.0
33000,1.2728549,0.70912194,41.791666666666664,6.1933340430259705,6.1933340430259705,1.0
34000,1.2577568,0.93097687,33.6551724137931,6.726207371415763,6.726207371415763,1.0
35000,1.2396679,0.92631316,26.91176470588235,7.525714669908796,7.525714669908796,1.0
36000,1.2415484,1.1473843,38.17391304347826,6.380000736402429,6.380000736402429,1.0
37000,1.2222058,1.2053534,38.03703703703704,6.280000598342331,6.280000598342331,1.0
38000,1.1903031,1.3080782,40.44,6.426400661468506,6.426400661468506,1.0
39000,1.1927361,1.3592615,25.914285714285715,7.487714563097272,7.487714563097272,1.0
40000,1.1651007,1.5251405,33.625,6.829677797132923,6.829677797132923,1.0
41000,1.1095297,1.6018249,21.651162790697676,7.927954771301963,7.927954771301963,1.0
42000,1.1097254,1.7206639,20.166666666666668,8.114681203314598,8.114681203314598,1.0
