Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
350000,2.4864664,9.009018036072144,0.14146452,-0.9213306304059907,-0.9213306304059907,0.58453184,3.833049,0.00028964595,0.19654866,0.0048277774,1.0
360000,2.448318,8.621856866537717,0.14824083,-0.9236065565658979,-0.9236065565658979,0.594188,3.8177898,0.000289351,0.19645035,0.004822871,1.0
370000,2.4817295,7.960360360360361,0.14716537,-0.9543386767134338,-0.9543386767134338,0.6029591,3.9567845,0.00028905622,0.19635208,0.004817968,1.0
380000,2.4715617,7.710571923743501,0.1286442,-0.9593174415785548,-0.9593174415785548,0.5885938,4.0231733,0.00028874943,0.1962498,0.0048128655,1.0
390000,2.43212,9.352331606217616,0.14551377,-0.9577805041942907,-0.9577805041942907,0.57806855,3.7796688,0.00028845586,0.19615196,0.004807982,1.0
400000,2.4318802,10.083333333333334,0.14215977,-0.9656937312591979,-0.9656937312591979,0.5570322,3.643807,0.00028815636,0.19605213,0.004803001,1.0
410000,2.4608982,9.651531151003168,0.1443246,-0.9507473354825848,-0.9507473354825848,0.57390803,3.7437603,0.00028785504,0.19595166,0.0047979886,1.0
420000,2.3848126,11.463930348258707,0.14310344,-0.9517827399456397,-0.9517827399456397,0.5359235,3.4757419,0.00028755164,0.19585054,0.0047929417,1.0
430000,2.4207385,10.206313416009019,0.14750098,-0.958832739930763,-0.958832739930763,0.5628522,3.6503432,0.00028725047,0.19575015,0.004787932,1.0
440000,2.406872,11.340320591861898,0.1604751,-0.9646292777153952,-0.9646292777153952,0.55638385,3.4843671,0.0002869454,0.19564848,0.004782858,1.0
450000,2.4045508,9.882872928176795,0.1484997,-0.9458399675620927,-0.9458399675620927,0.57068026,3.676896,0.0002866534,0.19555116,0.0047780015,1.0
460000,2.435297,9.459627329192546,0.16270968,-0.9494491389941007,-0.9494491389941007,0.5961273,3.722762,0.00028634633,0.19544877,0.0047728936,1.0
470000,2.4452481,9.580168776371307,0.15262157,-0.9487104959864365,-0.9487104959864365,0.58297026,3.720477,0.00028605585,0.19535194,0.004768062,1.0
480000,2.4780824,9.881967213114754,0.14799105,-0.9467195718746065,-0.9467195718746065,0.571427,3.6702933,0.00028575707,0.19525237,0.0047630924,1.0
