Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Environment/Episode Length,Is Training
68000,2.14465,0.24346307,-110.91968059539795,-110.91968059539795,999.0,1.0
69000,2.120706,-1.3530728,-98.68239307403564,-98.68239307403564,999.0,1.0
70000,2.08496,-0.869491,1031.9540734291077,1031.9540734291077,406.5,1.0
71000,1.959984,-1.8621101,515.9637088775635,515.9637088775635,504.0,1.0
72000,1.7585474,-1.5259005,631.0250047047933,631.0250047047933,367.3333333333333,1.0
73000,1.9513979,-1.9231455,-14.189404487609863,-14.189404487609863,999.0,1.0
74000,1.6457497,-2.7534418,-122.066171169281,-122.066171169281,999.0,1.0
75000,2.1411178,0.4153789,-142.77859163284302,-142.77859163284302,999.0,1.0
76000,2.063041,-1.6996405,1148.4007070064545,1148.4007070064545,311.0,1.0
77000,2.098204,-0.03503244,-271.01504135131836,-271.01504135131836,999.0,1.0
78000,1.8740373,-1.8784548,26.64652967453003,26.64652967453003,999.0,1.0
79000,1.9441811,-2.0270622,447.65453267097473,447.65453267097473,749.0,1.0
80000,1.9822947,1.950301,-295.1230492591858,-295.1230492591858,999.0,1.0
81000,2.071736,1.5565462,-47.71411752700806,-47.71411752700806,999.0,1.0
82000,2.1275353,-2.760882,1164.2541694641113,1164.2541694641113,139.0,1.0
83000,1.6122714,-3.0870268,-66.56606674194336,-66.56606674194336,999.0,1.0
84000,2.0226583,0.056952477,-190.73893404006958,-190.73893404006958,999.0,1.0
85000,2.044532,-0.103750154,-141.45340204238892,-141.45340204238892,999.0,1.0
86000,1.5918852,-3.3922446,377.8805215358734,377.8805215358734,544.0,1.0
87000,1.8494513,-1.6921417,794.3923224210739,794.3923224210739,406.25,1.0
88000,1.583132,-5.1651926,-89.48716640472412,-89.48716640472412,999.0,1.0
89000,2.0134783,-1.9166876,482.9314007759094,482.9314007759094,522.5,1.0
90000,1.5403472,-4.166631,1105.7090339660645,1105.7090339660645,154.5,1.0
91000,1.9294248,-1.1835285,-48.40982961654663,-48.40982961654663,999.0,1.0
92000,1.620385,-2.2516603,-127.25003433227539,-127.25003433227539,999.0,1.0
93000,1.92054,-1.3728905,-201.05287981033325,-201.05287981033325,999.0,1.0
94000,2.0162635,0.34827322,-66.11831521987915,-66.11831521987915,999.0,1.0
95000,1.5556738,-2.569489,-140.79310274124146,-140.79310274124146,999.0,1.0
96000,1.5920485,-3.4693813,-132.73773097991943,-132.73773097991943,999.0,1.0
97000,1.5451772,-5.702014,-220.54556322097778,-220.54556322097778,999.0,1.0
98000,1.933009,-0.76628995,-64.26938772201538,-64.26938772201538,999.0,1.0
99000,1.5967206,-5.1442637,-185.16469860076904,-185.16469860076904,999.0,1.0
100000,1.5412145,2.2256737,-37.011836886405945,-37.011836886405945,999.0,1.0
101000,1.4853613,-1.6338919,-25.635619640350342,-25.635619640350342,999.0,1.0
102000,2.0443342,-0.0013318658,-132.36908102035522,-132.36908102035522,999.0,1.0
103000,2.069573,1.7326936,-124.93351203203201,-124.93351203203201,999.0,1.0
104000,2.0266716,1.4680508,571.87109375,571.87109375,527.0,1.0
105000,2.0094762,-0.9979781,768.1130495667458,768.1130495667458,267.5,1.0
106000,1.6641635,-5.083067,49.07679224014282,49.07679224014282,999.0,1.0
107000,1.9487722,-1.7257929,456.880432844162,456.880432844162,610.0,1.0
108000,1.794859,-1.0297345,-39.926668643951416,-39.926668643951416,999.0,1.0
109000,1.5340322,-2.9683843,-177.57866382598877,-177.57866382598877,999.0,1.0
110000,1.8105843,0.11022106,-237.8909420967102,-237.8909420967102,999.0,1.0
111000,2.0444934,0.42716408,747.4333832263947,747.4333832263947,267.25,1.0
112000,2.0690987,-0.5058541,464.56249952316284,464.56249952316284,500.0,1.0
113000,2.0973072,-0.53453434,-161.3067626953125,-161.3067626953125,999.0,1.0
114000,1.5464461,-8.679786,1035.841980934143,1035.841980934143,624.0,1.0
115000,1.4912218,-3.0295887,-78.70255136489868,-78.70255136489868,999.0,1.0
116000,1.9410791,1.9378996,-178.29181098937988,-178.29181098937988,999.0,1.0
117000,1.6307461,-2.3778892,-54.86335229873657,-54.86335229873657,999.0,1.0
118000,1.8644104,-1.2510831,893.7064422879901,893.7064422879901,249.57142857142858,1.0
119000,1.5135335,1.9817331,-88.8353796005249,-88.8353796005249,999.0,1.0
120000,1.3563617,-3.8386128,1046.8822374343872,1046.8822374343872,125.0,1.0
121000,1.5523665,0.3489781,491.66662192344666,491.66662192344666,549.0,1.0
122000,1.9365102,0.87492496,484.9461579322815,484.9461579322815,505.0,1.0
123000,1.6163281,-1.3157538,766.1887681484222,766.1887681484222,269.75,1.0
124000,1.8553102,-0.5750385,448.032940864563,448.032940864563,593.5,1.0
125000,2.0012636,0.36693597,-164.30341351032257,-164.30341351032257,999.0,1.0
126000,1.8293837,0.96828663,671.2619932492574,671.2619932492574,414.6666666666667,1.0
127000,1.5896415,3.613096,-57.539748668670654,-57.539748668670654,999.0,1.0
128000,2.027115,2.3863811,496.29988169670105,496.29988169670105,501.0,1.0
129000,1.8011355,0.71605325,-172.0195174217224,-172.0195174217224,999.0,1.0
130000,1.3392987,0.51917326,-121.44439125061035,-121.44439125061035,999.0,1.0
131000,1.4473706,4.1893096,-65.64137029647827,-65.64137029647827,999.0,1.0
132000,1.3066238,-4.5262346,-44.70219326019287,-44.70219326019287,999.0,1.0
133000,1.4817425,0.14840345,641.5817101399103,641.5817101399103,368.6666666666667,1.0
134000,1.4901681,-0.07374027,-175.58600568771362,-175.58600568771362,999.0,1.0
135000,1.8834486,2.414536,13.549197673797607,13.549197673797607,999.0,1.0
136000,1.3767546,-2.39055,-82.7660322189331,-82.7660322189331,999.0,1.0
137000,1.9640292,-0.14739949,22.28409194946289,22.28409194946289,999.0,1.0
138000,1.498901,0.8752194,1204.7712860107422,1204.7712860107422,204.0,1.0
139000,1.9947075,2.5127044,-113.68795776367188,-113.68795776367188,999.0,1.0
140000,1.4930869,-8.401122,488.4884510040283,488.4884510040283,579.5,1.0
141000,1.9307914,-0.97993493,663.7056291898092,663.7056291898092,486.6666666666667,1.0
142000,2.0188897,3.251516,-63.96031951904297,-63.96031951904297,999.0,1.0
143000,2.0057664,1.9877808,-168.1037244796753,-168.1037244796753,999.0,1.0
144000,1.7691952,-2.2509685,-131.27434921264648,-131.27434921264648,999.0,1.0
145000,1.3556645,-5.15213,-54.66220021247864,-54.66220021247864,999.0,1.0
146000,1.3445908,-9.080595,-151.62038707733154,-151.62038707733154,999.0,1.0
147000,1.5880402,-3.7494283,512.299565076828,512.299565076828,524.5,1.0
148000,1.9994291,-0.7186963,1057.3340854644775,1057.3340854644775,367.0,1.0
149000,1.9723487,3.939605,-55.793118953704834,-55.793118953704834,999.0,1.0
150000,1.9509543,3.7585413,-103.79582262039185,-103.79582262039185,999.0,1.0
151000,2.019852,0.26068196,-133.17675018310547,-133.17675018310547,999.0,1.0
152000,1.9236088,-1.2755096,750.2463935613632,750.2463935613632,467.25,1.0
153000,1.7472727,0.9004688,1041.5956106185913,1041.5956106185913,743.0,1.0
154000,1.2860374,-6.866824,-159.80641841888428,-159.80641841888428,999.0,1.0
155000,1.4565285,-7.795107,-114.25662565231323,-114.25662565231323,999.0,1.0
156000,1.9330167,3.4406476,1063.5825834274292,1063.5825834274292,333.0,1.0
157000,1.5273794,-3.2311847,747.9878777265549,747.9878777265549,292.0,1.0
158000,1.4582003,-8.504231,729.3188861211141,729.3188861211141,360.25,1.0
159000,1.0571246,-10.6562805,1066.0333967208862,1066.0333967208862,37.0,1.0
160000,1.0933144,-11.839958,552.1767454147339,552.1767454147339,517.5,1.0
161000,1.8408527,4.3235655,722.5895146528879,722.5895146528879,378.6666666666667,1.0
162000,1.7374238,-2.9630773,660.1388815244039,660.1388815244039,530.6666666666666,1.0
163000,1.1726967,-0.7423947,-156.56027221679688,-156.56027221679688,999.0,1.0
164000,1.7540407,2.649706,1118.465133190155,1118.465133190155,196.5,1.0
165000,1.6782732,3.1626587,668.3586095174154,668.3586095174154,521.3333333333334,1.0
166000,1.2019664,1.7208958,-123.58469200134277,-123.58469200134277,999.0,1.0
167000,1.9026037,1.8365457,424.56626176834106,424.56626176834106,500.0,1.0
168000,1.7926743,2.8887155,1099.157358467579,1099.157358467579,248.5,1.0
169000,1.7042333,6.1528435,684.6305454572042,684.6305454572042,345.0,1.0
170000,1.0964863,10.137703,-134.04264068603516,-134.04264068603516,999.0,1.0
171000,1.7351824,1.8085269,469.24715662002563,469.24715662002563,512.5,1.0
172000,0.80824655,4.4408855,-233.44293594360352,-233.44293594360352,999.0,1.0
173000,0.88585275,-5.6282835,-227.18267679214478,-227.18267679214478,999.0,1.0
174000,1.1372933,-4.521788,-248.938374042511,-248.938374042511,999.0,1.0
175000,1.8364213,6.33523,460.11638593673706,460.11638593673706,544.5,1.0
176000,1.0917174,-0.033174906,1183.769142150879,1183.769142150879,272.0,1.0
177000,0.82979846,-0.6614993,-110.98056936264038,-110.98056936264038,999.0,1.0
178000,0.9337087,-12.103017,-72.47739744186401,-72.47739744186401,999.0,1.0
179000,1.5876453,-3.0701163,-53.78845930099487,-53.78845930099487,999.0,1.0
180000,1.8294665,3.5853972,461.9901463985443,461.9901463985443,512.5,1.0
181000,1.244296,-0.57515806,876.5072312355042,876.5072312355042,195.0,1.0
182000,1.5824568,-2.2599754,-17.285762786865234,-17.285762786865234,999.0,1.0
183000,1.9251424,4.330935,-159.73760104179382,-159.73760104179382,999.0,1.0
184000,1.9410509,5.491978,-86.58134126663208,-86.58134126663208,999.0,1.0
185000,1.9084824,4.420763,-93.49567174911499,-93.49567174911499,999.0,1.0
186000,1.9915998,5.050554,-195.61282777786255,-195.61282777786255,999.0,1.0
187000,1.2678728,3.9026842,-126.65851402282715,-126.65851402282715,999.0,1.0
188000,1.6578968,0.9588282,-180.34848713874817,-180.34848713874817,999.0,1.0
189000,1.8201872,-1.2484338,-86.09235000610352,-86.09235000610352,999.0,1.0
190000,1.8025604,0.6065432,34.24680852890015,34.24680852890015,999.0,1.0
191000,1.8562454,3.53648,430.67264676094055,430.67264676094055,509.0,1.0
192000,1.8742621,3.3822353,695.6479705174764,695.6479705174764,380.0,1.0
193000,1.8608104,3.4379096,506.73452138900757,506.73452138900757,523.5,1.0
194000,1.8279833,4.0438786,533.7060041427612,533.7060041427612,531.0,1.0
195000,1.8886677,6.838888,480.4762153625488,480.4762153625488,522.5,1.0
196000,1.6099615,4.8430142,-146.1830039024353,-146.1830039024353,999.0,1.0
197000,1.263305,-7.2740564,-153.08124589920044,-153.08124589920044,999.0,1.0
198000,1.2004173,3.360169,1037.0546770095825,1037.0546770095825,335.5,1.0
199000,1.4594536,0.8881986,-154.2008786201477,-154.2008786201477,999.0,1.0
200000,1.9171182,3.8187735,-70.79660415649414,-70.79660415649414,999.0,1.0
201000,1.8844019,6.6787453,643.704129854838,643.704129854838,354.3333333333333,1.0
202000,1.8282613,3.2336416,493.2823414802551,493.2823414802551,551.0,1.0
203000,1.8365945,3.9503129,-228.59024333953857,-228.59024333953857,999.0,1.0
204000,1.9985807,4.7693744,500.1827669143677,500.1827669143677,564.0,1.0
205000,1.8365107,7.906551,1117.032558441162,1117.032558441162,530.0,1.0
206000,0.98501533,20.31596,-263.55202531814575,-263.55202531814575,999.0,1.0
207000,1.6021916,8.917784,518.060534954071,518.060534954071,545.0,1.0
208000,1.9587684,4.2308955,494.2105977535248,494.2105977535248,516.5,1.0
209000,1.3583337,-7.167437,-88.69952630996704,-88.69952630996704,999.0,1.0
210000,1.5502123,-3.6490898,3.791195869445801,3.791195869445801,999.0,1.0
211000,1.9052562,5.369792,-69.3455638885498,-69.3455638885498,999.0,1.0
212000,1.1748319,8.168713,-197.33946323394775,-197.33946323394775,999.0,1.0
213000,1.4688518,8.794732,659.0743611653646,659.0743611653646,480.3333333333333,1.0
214000,1.636904,3.368847,-91.74895030260086,-91.74895030260086,999.0,1.0
