Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.7916099,0.06612567,186.4,-667.2680711746216,-667.2680711746216,1.0
2000,1.7915616,0.07208462,152.33333333333334,-545.3783860206604,-545.3783860206604,1.0
3000,1.7829424,-0.4343994,290.6666666666667,-993.1900965372721,-993.1900965372721,1.0
4000,1.782998,-0.46742982,419.3333333333333,-1387.8968238830566,-1387.8968238830566,1.0
5000,1.7515332,-1.0055455,349.3333333333333,-920.5351133346558,-920.5351133346558,1.0
6000,1.7485188,-1.116503,467.0,-1341.6851558685303,-1341.6851558685303,1.0
7000,1.7102362,-1.815699,421.6666666666667,-1156.1568048795064,-1156.1568048795064,1.0
8000,1.7025585,-1.9374868,314.0,-743.8200988769531,-743.8200988769531,1.0
9000,1.6484118,-2.6609125,376.0,-924.8401279449463,-924.8401279449463,1.0
10000,1.635501,-3.0364516,110.0,-221.8533582687378,-221.8533582687378,1.0
11000,1.5856078,-3.6953707,228.83333333333334,-399.32805852890016,-399.32805852890016,1.0
12000,1.5596206,-4.129018,86.22222222222223,-243.31403193473815,-243.31403193473815,1.0
13000,1.517781,-4.6282144,408.3333333333333,-953.1601104736328,-953.1601104736328,1.0
14000,1.4930607,-5.133024,63.54545454545455,-132.38751244544983,-132.38751244544983,1.0
15000,1.4618285,-5.746466,120.1,-214.31802163124084,-214.31802163124084,1.0
16000,1.4413362,-6.1506248,85.1,-130.93201055526734,-130.93201055526734,1.0
17000,1.4082371,-6.6359177,164.33333333333334,-265.3850220839183,-265.3850220839183,1.0
18000,1.3788204,-6.884083,919.0,-1470.3601341247559,-1470.3601341247559,1.0
19000,1.3547685,-7.44245,159.125,-230.37430572509766,-230.37430572509766,1.0
20000,1.3082107,-8.153501,243.0,-314.5960178375244,-314.5960178375244,1.0
21000,1.2886959,-8.5476885,125.25,-165.96001362800598,-165.96001362800598,1.0
22000,1.2446644,-9.052357,134.1,-167.22901453971863,-167.22901453971863,1.0
23000,1.2340072,-9.117365,198.0,-283.8640193939209,-283.8640193939209,1.0
24000,1.2165424,-9.409561,206.0,-195.53334426879883,-195.53334426879883,1.0
25000,1.2208221,-9.528293,173.0,-246.4825193285942,-246.4825193285942,1.0
26000,1.1933534,-10.060853,69.07142857142857,-91.18786294119698,-91.18786294119698,1.0
27000,1.1918664,-10.121568,71.27272727272727,-74.76417156060536,-74.76417156060536,1.0
28000,1.1732227,-10.394131,172.57142857142858,-242.0000146230062,-242.0000146230062,1.0
29000,1.1732607,-10.617113,57.333333333333336,-62.80063009262085,-62.80063009262085,1.0
30000,1.1692326,-10.600365,88.42857142857143,-108.69000775473458,-108.69000775473458,1.0
31000,1.1754272,-10.551838,150.7,-206.80445962482028,-206.80445962482028,1.0
32000,1.1607155,-10.87572,141.57142857142858,-171.39858525139945,-171.39858525139945,1.0
33000,1.1585524,-11.042632,52.9375,-63.38176553389605,-63.38176553389605,1.0
34000,1.128472,-11.308903,79.08333333333333,-89.91500620047252,-89.91500620047252,1.0
35000,1.1179665,-11.265678,123.16666666666667,-152.95167438189188,-152.95167438189188,1.0
36000,1.0947044,-11.578473,89.13333333333334,-103.60733853975931,-103.60733853975931,1.0
37000,1.0846549,-11.862066,52.72222222222222,-61.801669438680015,-61.801669438680015,1.0
38000,1.0641925,-11.837807,104.11111111111111,-124.47112120522394,-124.47112120522394,1.0
39000,1.0469288,-11.96265,80.71428571428571,-99.99308164303119,-99.99308164303119,1.0
40000,1.0324869,-12.100713,67.6,-62.63733803431193,-62.63733803431193,1.0
41000,1.0209392,-12.351395,44.0,-59.18500310724432,-59.18500310724432,1.0
42000,1.0089724,-12.559872,67.23076923076923,-74.68000309807914,-74.68000309807914,1.0
43000,0.99633753,-12.678057,110.1,-138.15778393215604,-138.15778393215604,1.0
44000,0.9924834,-12.632637,65.26666666666667,-73.95333579381307,-73.95333579381307,1.0
45000,0.9929554,-12.585725,36.25925925925926,-39.13111317599261,-39.13111317599261,1.0
46000,0.98163605,-13.028717,51.94444444444444,-57.377896434382386,-57.377896434382386,1.0
47000,0.9880929,-13.024731,55.8235294117647,-67.45823938706341,-67.45823938706341,1.0
48000,0.9845156,-13.053196,71.86666666666666,-82.62357805456433,-82.62357805456433,1.0
49000,0.97968143,-13.067058,44.666666666666664,-57.499232915731575,-57.499232915731575,1.0
50000,0.9848799,-12.796572,999.0,-1124.230052947998,-1124.230052947998,1.0
51000,0.9979469,-13.082249,123.36363636363636,-135.63455080986023,-135.63455080986023,1.0
52000,1.0017138,-13.437645,52.1578947368421,-57.71579067330612,-57.71579067330612,1.0
53000,1.0122768,-13.543537,133.5,-170.28715467453003,-170.28715467453003,1.0
54000,1.0097629,-13.5738945,58.64705882352941,-59.62059071484734,-59.62059071484734,1.0
55000,1.0040044,-14.085272,64.07142857142857,-76.30333674748739,-76.30333674748739,1.0
56000,0.9974939,-14.022745,85.66666666666667,-103.79455288973722,-103.79455288973722,1.0
57000,0.9779649,-14.083743,52.94736842105263,-53.58947743867573,-53.58947743867573,1.0
58000,0.97366214,-14.005719,56.6875,-72.53706068151138,-72.53706068151138,1.0
59000,0.95358115,-14.394685,43.958333333333336,-43.24913234296052,-43.24913234296052,1.0
60000,0.9503802,-14.590396,62.333333333333336,-76.41375401616096,-76.41375401616096,1.0
61000,0.91129714,-14.380611,68.53333333333333,-69.13143260138375,-69.13143260138375,1.0
62000,0.9077646,-14.552963,67.86666666666666,-88.38600454330444,-88.38600454330444,1.0
63000,0.88424367,-15.112038,44.95238095238095,-49.35762198766073,-49.35762198766073,1.0
64000,0.88517076,-14.909015,39.583333333333336,-42.031202239990236,-42.031202239990236,1.0
65000,0.8617961,-15.199453,114.5,-137.9550062417984,-137.9550062417984,1.0
66000,0.8560019,-14.879489,40.55555555555556,-45.97577239916875,-45.97577239916875,1.0
67000,0.8677341,-15.472617,70.53846153846153,-79.88714725630624,-79.88714725630624,1.0
68000,0.86602485,-15.446416,44.72727272727273,-47.40682005882263,-47.40682005882263,1.0
69000,0.8581353,-15.617527,38.53846153846154,-39.56840000152588,-39.56840000152588,1.0
70000,0.8548165,-15.515465,43.608695652173914,-46.57043778378031,-46.57043778378031,1.0
71000,0.8559236,-16.013466,50.05555555555556,-54.08895148729023,-54.08895148729023,1.0
72000,0.8458699,-15.940051,80.0,-94.7466722925504,-94.7466722925504,1.0
73000,0.84698355,-15.950821,63.25,-70.50625294446945,-70.50625294446945,1.0
74000,0.8323412,-15.9709425,57.25,-63.59235780379351,-63.59235780379351,1.0
75000,0.8188239,-16.270084,50.63157894736842,-56.642633965140895,-56.642633965140895,1.0
76000,0.7954024,-16.313488,54.68421052631579,-61.670530457245675,-61.670530457245675,1.0
77000,0.8004607,-16.272564,61.11764705882353,-68.86812976002693,-68.86812976002693,1.0
78000,0.79117197,-16.358763,55.0,-64.63000308766084,-64.63000308766084,1.0
79000,0.786402,-16.24745,50.65,-54.29450402259827,-54.29450402259827,1.0
80000,0.7708105,-16.527143,52.0,-62.05368812460648,-62.05368812460648,1.0
81000,0.7666903,-16.778997,62.0,-69.77933516502381,-69.77933516502381,1.0
82000,0.72332925,-16.917356,44.04347826086956,-47.5500022639399,-47.5500022639399,1.0
83000,0.72350186,-16.863853,30.666666666666668,-30.521250620484352,-30.521250620484352,1.0
84000,0.69130474,-16.743845,30.612903225806452,-30.716130625817083,-30.716130625817083,1.0
85000,0.7027157,-17.014723,30.82758620689655,-30.774335368474325,-30.774335368474325,1.0
86000,0.67074245,-16.91573,48.13636363636363,-51.77095499492827,-51.77095499492827,1.0
87000,0.67712915,-17.290218,39.041666666666664,-43.6404034614563,-43.6404034614563,1.0
88000,0.6782345,-17.282347,39.53846153846154,-44.672802429199216,-44.672802429199216,1.0
89000,0.6801939,-17.684013,39.2,-44.18320292472839,-44.18320292472839,1.0
90000,0.6788066,-17.480446,60.5,-57.42000177502632,-57.42000177502632,1.0
91000,0.6627508,-17.62222,41.125,-51.3237544298172,-51.3237544298172,1.0
92000,0.6819055,-17.856455,37.76923076923077,-41.64192511485173,-41.64192511485173,1.0
93000,0.67054045,-17.62452,34.57142857142857,-38.142858369009836,-38.142858369009836,1.0
94000,0.6563674,-18.033289,48.0,-58.0855028629303,-58.0855028629303,1.0
95000,0.6572413,-17.89053,36.07142857142857,-33.8325024502618,-33.8325024502618,1.0
96000,0.6306973,-17.905075,32.06896551724138,-36.69310490838413,-36.69310490838413,1.0
97000,0.6126412,-17.89793,37.6,-45.26038723725539,-45.26038723725539,1.0
98000,0.59023374,-18.05715,44.78260869565217,-52.68818524750796,-52.68818524750796,1.0
99000,0.5874072,-18.423794,41.78260869565217,-39.81043718172156,-39.81043718172156,1.0
100000,0.5780098,-18.568998,28.7,-35.47548415583949,-35.47548415583949,1.0
101000,0.5795765,-18.467228,48.08695652173913,-48.515003030950375,-48.515003030950375,1.0
102000,0.49401408,-18.381413,25.486486486486488,-31.277839003382503,-31.277839003382503,1.0
103000,0.56877214,-18.33223,28.794117647058822,-31.987648977952844,-31.987648977952844,1.0
104000,0.54678094,-18.632587,30.032258064516128,-32.41406428813934,-32.41406428813934,1.0
105000,0.5398499,-18.513056,32.10344827586207,-34.994139687768346,-34.994139687768346,1.0
106000,0.55292493,-18.53767,35.3448275862069,-41.083105958741285,-41.083105958741285,1.0
107000,0.5400179,-18.17503,30.272727272727273,-31.983438313007355,-31.983438313007355,1.0
108000,0.5508785,-18.644344,24.92105263157895,-27.05815897489849,-27.05815897489849,1.0
109000,0.559669,-18.50908,33.206896551724135,-26.441380714548046,-26.441380714548046,1.0
110000,0.5457145,-18.624977,25.0,-33.30473882273624,-33.30473882273624,1.0
111000,0.57245946,-18.072144,32.34375,-33.870969803102554,-33.870969803102554,1.0
112000,0.5643147,-18.648832,29.466666666666665,-36.28161479580787,-36.28161479580787,1.0
113000,0.58146644,-18.59625,25.146341463414632,-26.810001218318938,-26.810001218318938,1.0
114000,0.5787015,-19.204641,42.56521739130435,-47.714785368546195,-47.714785368546195,1.0
115000,0.5923859,-18.700201,32.86206896551724,-37.29600133101145,-37.29600133101145,1.0
116000,0.5979824,-18.85936,51.63157894736842,-62.857899716025905,-62.857899716025905,1.0
117000,0.56110793,-18.797478,24.1,-23.612308575556828,-23.612308575556828,1.0
118000,0.58253473,-19.20567,41.166666666666664,-50.13041967153549,-50.13041967153549,1.0
119000,0.591049,-18.8482,28.484848484848484,-30.610884273753445,-30.610884273753445,1.0
120000,0.58488256,-18.947344,53.388888888888886,-67.97000426716275,-67.97000426716275,1.0
121000,0.56330675,-19.577543,53.526315789473685,-63.89167086283366,-63.89167086283366,1.0
122000,0.55700594,-18.931454,28.441176470588236,-32.74647215534659,-32.74647215534659,1.0
123000,0.5394333,-19.232204,31.59259259259259,-35.644645128931316,-35.644645128931316,1.0
124000,0.48287445,-19.277016,32.35294117647059,-37.858184135321416,-37.858184135321416,1.0
125000,0.53739005,-19.235826,21.636363636363637,-20.655455047434028,-20.655455047434028,1.0
126000,0.49452654,-19.549316,30.65625,-31.803751081228256,-31.803751081228256,1.0
127000,0.5361572,-19.635874,32.1,-37.814002958933514,-37.814002958933514,1.0
128000,0.5236716,-18.88484,25.216216216216218,-27.10079050064087,-27.10079050064087,1.0
129000,0.5112957,-19.460772,38.23076923076923,-44.652002658844,-44.652002658844,1.0
130000,0.48353124,-19.337305,30.65625,-32.57562652230263,-32.57562652230263,1.0
131000,0.48402482,-19.408178,26.833333333333332,-27.694167402055527,-27.694167402055527,1.0
132000,0.4957337,-19.48617,27.0,-32.95194662279553,-32.95194662279553,1.0
133000,0.47529748,-19.818064,26.47222222222222,-28.551946732732986,-28.551946732732986,1.0
134000,0.49521843,-19.035444,20.26086956521739,-20.556087939635567,-20.556087939635567,1.0
135000,0.47490612,-19.615524,36.25925925925926,-40.845927203143084,-40.845927203143084,1.0
136000,0.47433513,-19.203976,27.457142857142856,-29.804287372316633,-29.804287372316633,1.0
137000,0.46182743,-19.4558,25.05128205128205,-27.012565441620655,-27.012565441620655,1.0
138000,0.43115395,-18.839613,22.404761904761905,-21.683571633838472,-21.683571633838472,1.0
139000,0.43677706,-19.83409,29.387096774193548,-31.71500150114298,-31.71500150114298,1.0
140000,0.4330427,-19.320871,30.147058823529413,-32.34000118573507,-32.34000118573507,1.0
141000,0.42126697,-19.454697,27.10810810810811,-29.34729779733194,-29.34729779733194,1.0
142000,0.40585127,-19.689453,25.08108108108108,-28.38378486117801,-28.38378486117801,1.0
143000,0.41781494,-19.0997,29.181818181818183,-33.75969731446469,-33.75969731446469,1.0
144000,0.39258465,-19.626097,22.09090909090909,-21.01227376677773,-21.01227376677773,1.0
145000,0.4035048,-19.646542,25.513513513513512,-26.51567707835017,-26.51567707835017,1.0
146000,0.42155164,-19.602245,25.526315789473685,-30.270528504722996,-30.270528504722996,1.0
147000,0.42072025,-19.374414,21.857142857142858,-19.679092493924227,-19.679092493924227,1.0
148000,0.40329662,-19.776613,67.81818181818181,-73.44809702464512,-73.44809702464512,1.0
149000,0.37539703,-19.350006,25.444444444444443,-25.89864966676042,-25.89864966676042,1.0
150000,0.37355405,-19.658175,22.0,-22.074001036749944,-22.074001036749944,1.0
151000,0.36086547,-19.64337,25.44736842105263,-26.686843834425275,-26.686843834425275,1.0
152000,0.36814004,-19.565437,24.102564102564102,-27.540001487731935,-27.540001487731935,1.0
153000,0.35617408,-19.528015,28.941176470588236,-32.51333524241592,-32.51333524241592,1.0
154000,0.33920777,-19.59624,31.193548387096776,-34.678389272382184,-34.678389272382184,1.0
155000,0.32507434,-19.0642,21.976744186046513,-21.3586057951284,-21.3586057951284,1.0
156000,0.30892926,-19.239958,25.857142857142858,-25.32444523440467,-25.32444523440467,1.0
157000,0.33101767,-19.611092,27.5,-28.89243390109088,-28.89243390109088,1.0
158000,0.30936962,-19.744106,34.32142857142857,-40.34285824639456,-40.34285824639456,1.0
159000,0.29325646,-18.722902,25.89189189189189,-26.192164459744014,-26.192164459744014,1.0
160000,0.30109027,-19.213497,26.236842105263158,-26.930263657318918,-26.930263657318918,1.0
161000,0.2991957,-18.993044,25.54054054054054,-27.48054128079801,-27.48054128079801,1.0
162000,0.29043272,-19.328367,18.137254901960784,-16.663529947692272,-16.663529947692272,1.0
163000,0.27168816,-19.38387,28.58823529411765,-30.884707478915942,-30.884707478915942,1.0
164000,0.2713788,-18.465494,18.68,-16.080392977770636,-16.080392977770636,1.0
165000,0.2836123,-18.53701,22.705882352941178,-21.56323723232045,-21.56323723232045,1.0
166000,0.28878388,-18.862928,94.23076923076923,-105.36166914304097,-105.36166914304097,1.0
167000,0.24189387,-19.215273,25.864864864864863,-25.557027262610358,-25.557027262610358,1.0
168000,0.27217346,-18.820766,27.09090909090909,-30.560295623891495,-30.560295623891495,1.0
169000,0.26139888,-18.044224,25.275,-26.71230871249468,-26.71230871249468,1.0
170000,0.27745864,-18.867907,29.151515151515152,-29.92454655965169,-29.92454655965169,1.0
171000,0.26319057,-19.122389,22.976744186046513,-22.449768487797225,-22.449768487797225,1.0
172000,0.25891036,-18.986183,23.871794871794872,-24.818462958702675,-24.818462958702675,1.0
173000,0.25378877,-18.343927,22.27906976744186,-21.582792248836782,-21.582792248836782,1.0
174000,0.26204517,-18.108486,19.28,-18.37340103149414,-18.37340103149414,1.0
175000,0.23870145,-18.28033,25.763157894736842,-25.36500126437137,-25.36500126437137,1.0
176000,0.25562435,-18.588326,22.071428571428573,-23.43714476199377,-23.43714476199377,1.0
177000,0.24152495,-18.419859,23.585365853658537,-22.623659587487943,-22.623659587487943,1.0
178000,0.25338128,-18.601072,19.4,-18.323400688171386,-18.323400688171386,1.0
179000,0.23867135,-18.606958,24.166666666666668,-24.455406717351966,-24.455406717351966,1.0
180000,0.22368874,-17.806051,18.74074074074074,-16.484906322551222,-16.484906322551222,1.0
