Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
88000,1.8751944,-9.292185,None,None,None,1.0
89000,1.8275557,-9.353277,999.0,-102.90998077392578,-102.90998077392578,1.0
90000,1.7998883,-9.420487,999.0,-101.97498047351837,-101.97498047351837,1.0
91000,1.7714286,-9.484079,None,None,None,1.0
92000,1.7286829,-9.491365,999.0,-100.9466466108958,-100.9466466108958,1.0
93000,1.7590549,-9.509798,999.0,-100.93998003005981,-100.93998003005981,1.0
94000,1.8031093,-9.523937,999.0,-99.97997951507568,-99.97997951507568,1.0
95000,1.8298675,-9.493938,None,None,None,1.0
96000,1.8647791,-9.488242,None,None,None,1.0
97000,1.8501177,-9.478119,None,None,None,1.0
98000,1.8270907,-9.557648,999.0,-100.90997982025146,-100.90997982025146,1.0
99000,1.8339525,-9.527758,999.0,-100.47497975826263,-100.47497975826263,1.0
100000,1.7495995,-9.605901,None,None,None,1.0
101000,1.7541709,-9.60619,999.0,-100.9466466108958,-100.9466466108958,1.0
102000,1.7463037,-9.65498,999.0,-101.4399802684784,-101.4399802684784,1.0
103000,1.7675751,-9.624382,999.0,-100.97997999191284,-100.97997999191284,1.0
104000,1.8020009,-9.613496,None,None,None,1.0
105000,1.840702,-9.587831,None,None,None,1.0
106000,1.839216,-9.623125,None,None,None,1.0
107000,1.7714273,-9.6776285,999.0,-102.90998077392578,-102.90998077392578,1.0
108000,1.8090119,-9.67603,999.0,-100.97497999668121,-100.97497999668121,1.0
109000,1.7806782,-9.697282,None,None,None,1.0
110000,1.725857,-9.730757,999.0,-100.27997962633769,-100.27997962633769,1.0
111000,1.7703632,-9.732628,999.0,-100.93998003005981,-100.93998003005981,1.0
112000,1.8006893,-9.726477,999.0,-100.97997999191284,-100.97997999191284,1.0
113000,1.7134936,-9.746228,None,None,None,1.0
114000,1.7598703,-9.7160845,None,None,None,1.0
115000,1.8121085,-9.732428,None,None,None,1.0
116000,1.7709589,-9.7314625,999.0,-100.90997982025146,-100.90997982025146,1.0
117000,1.7634268,-9.76493,999.0,-101.97498047351837,-101.97498047351837,1.0
118000,1.7347195,-9.781805,None,None,None,1.0
119000,1.7255605,-9.814402,999.0,-101.6133135954539,-101.6133135954539,1.0
120000,1.726564,-9.805834,999.0,-100.43997979164124,-100.43997979164124,1.0
121000,1.7437694,-9.848857,999.0,-103.97998142242432,-103.97998142242432,1.0
122000,1.705037,-9.825708,None,None,None,1.0
123000,1.7406667,-9.807337,None,None,None,1.0
124000,1.7519872,-9.805426,None,None,None,1.0
125000,1.7186513,-9.831273,999.0,-99.9099793434143,-99.9099793434143,1.0
126000,1.7625271,-9.833165,999.0,-101.47498023509979,-101.47498023509979,1.0
127000,1.7265424,-9.908375,None,None,None,1.0
128000,1.6910979,-9.892077,999.0,-101.27998010317485,-101.27998010317485,1.0
129000,1.7200471,-9.94422,999.0,-100.43997979164124,-100.43997979164124,1.0
130000,1.6989301,-9.935524,999.0,-100.97997999191284,-100.97997999191284,1.0
131000,1.6851093,-9.976798,None,None,None,1.0
132000,1.736152,-9.931828,None,None,None,1.0
133000,1.741997,-9.919884,None,None,None,1.0
134000,1.7344964,-9.934517,999.0,-99.9099793434143,-99.9099793434143,1.0
135000,1.7526189,-9.921179,999.0,-99.97497951984406,-99.97497951984406,1.0
136000,1.7397014,-9.944632,None,None,None,1.0
137000,1.7140963,-9.938318,999.0,-100.61331311861674,-100.61331311861674,1.0
138000,1.7445228,-9.930435,999.0,-100.43997979164124,-100.43997979164124,1.0
139000,1.7462631,-9.911875,999.0,-99.97997951507568,-99.97997951507568,1.0
140000,1.7364225,-9.933399,None,None,None,1.0
141000,1.7140179,-9.8953,None,None,None,1.0
