Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.194614,499.5,0.016612107,100.0,100.0,1.0
2000,2.1967523,999.0,0.49208754,-13582.592193603516,-13582.592193603516,1.0
3000,2.1807694,999.0,1.1954813,-13208.115051269531,-13208.115051269531,1.0
4000,2.1905093,999.0,-1.7173297,-10077.97737121582,-10077.97737121582,1.0
5000,2.1848607,999.0,-1.6025493,-19542.742614746094,-19542.742614746094,1.0
6000,2.1747825,999.0,-1.6136503,-13394.211730957031,-13394.211730957031,1.0
7000,2.187401,999.0,-3.2739444,-15869.67919921875,-15869.67919921875,1.0
8000,2.192907,999.0,-0.13155387,-12552.042541503906,-12552.042541503906,1.0
9000,2.1689682,999.0,-1.4128157,-11307.461822509766,-11307.461822509766,1.0
10000,2.1923983,999.0,0.7119322,-12055.321166992188,-12055.321166992188,1.0
11000,2.1715956,999.0,-5.1819324,-14429.683654785156,-14429.683654785156,1.0
12000,2.1699915,999.0,-1.5541773,-10095.201080322266,-10095.201080322266,1.0
13000,2.1867104,999.0,-2.409641,-16414.986877441406,-16414.986877441406,1.0
14000,2.1877146,999.0,-3.1091309,-10677.53384399414,-10677.53384399414,1.0
15000,2.1922803,999.0,-2.4369369,-12712.02587890625,-12712.02587890625,1.0
16000,2.1866035,999.0,-6.866699,-10921.334411621094,-10921.334411621094,1.0
17000,2.1912422,999.0,-2.0130863,-17210.72186279297,-17210.72186279297,1.0
18000,2.1832373,999.0,-3.9403133,-14714.319274902344,-14714.319274902344,1.0
19000,2.1768146,999.0,-6.5359964,-14598.360931396484,-14598.360931396484,1.0
20000,2.1704955,999.0,-5.6756926,-12523.179931640625,-12523.179931640625,1.0
21000,2.1863995,999.0,-5.3149114,-11536.044036865234,-11536.044036865234,1.0
22000,2.163509,999.0,-4.4509964,-8811.551666259766,-8811.551666259766,1.0
23000,2.1766145,999.0,-4.7787604,-20180.169921875,-20180.169921875,1.0
24000,2.1701055,999.0,-6.108159,-16668.986389160156,-16668.986389160156,1.0
25000,2.1778286,999.0,-6.5769167,-11646.707427978516,-11646.707427978516,1.0
26000,2.17363,999.0,-9.169941,-12588.755401611328,-12588.755401611328,1.0
27000,2.1788979,999.0,-10.819295,-13404.460693359375,-13404.460693359375,1.0
28000,2.171518,999.0,-9.599408,-11500.222473144531,-11500.222473144531,1.0
29000,2.1627347,999.0,-12.52886,-8756.890625,-8756.890625,1.0
30000,2.0719652,999.0,-10.773837,-13708.326049804688,-13708.326049804688,1.0
31000,2.1638386,999.0,-9.77159,-12048.314483642578,-12048.314483642578,1.0
32000,2.001539,999.0,-12.688509,-12696.514434814453,-12696.514434814453,1.0
33000,2.0586855,504.5,-12.11401,-6443.733589172363,-6443.733589172363,1.0
34000,2.0799708,999.0,-13.807781,-11880.569091796875,-11880.569091796875,1.0
35000,2.1102035,999.0,-12.490561,-14934.712707519531,-14934.712707519531,1.0
36000,2.1717143,999.0,-13.965382,-12960.354217529297,-12960.354217529297,1.0
37000,2.1592894,999.0,-13.559578,-10651.056716918945,-10651.056716918945,1.0
38000,2.144553,999.0,-14.905083,-13641.80874633789,-13641.80874633789,1.0
39000,2.1078265,999.0,-18.861252,-15090.975997924805,-15090.975997924805,1.0
40000,2.0102654,999.0,-19.208447,-12245.228271484375,-12245.228271484375,1.0
41000,2.14898,999.0,-11.280281,-15797.184448242188,-15797.184448242188,1.0
42000,2.0666218,999.0,-21.747862,-10339.657135009766,-10339.657135009766,1.0
43000,2.109332,999.0,-22.696014,-11891.136993408203,-11891.136993408203,1.0
44000,2.1852295,999.0,-15.98847,-11566.030197143555,-11566.030197143555,1.0
45000,2.018569,999.0,-19.916779,-17285.590454101562,-17285.590454101562,1.0
46000,2.012379,999.0,-23.461777,-14724.033874511719,-14724.033874511719,1.0
47000,2.1732032,999.0,-22.311947,-15368.537780761719,-15368.537780761719,1.0
48000,2.1552176,999.0,-16.41731,-12571.827896118164,-12571.827896118164,1.0
49000,2.1149795,999.0,-20.73891,-11327.011413574219,-11327.011413574219,1.0
50000,2.1258178,999.0,-30.46073,-11293.37173461914,-11293.37173461914,1.0
51000,2.027319,999.0,-32.320576,-9747.460083007812,-9747.460083007812,1.0
52000,2.1319506,43.0,-32.46831,-6523.6445236206055,-6523.6445236206055,1.0
53000,2.1646557,999.0,-22.514725,-13770.384796142578,-13770.384796142578,1.0
54000,2.1035619,505.0,-32.601738,-7119.949054718018,-7119.949054718018,1.0
55000,1.9601629,999.0,-33.29775,-9674.886413574219,-9674.886413574219,1.0
56000,2.0590723,999.0,-33.568348,-13432.440811157227,-13432.440811157227,1.0
57000,1.9561776,999.0,-39.11374,-15562.8115234375,-15562.8115234375,1.0
58000,2.177384,999.0,-23.833954,-12433.490051269531,-12433.490051269531,1.0
59000,2.167959,999.0,-25.906708,-9022.379913330078,-9022.379913330078,1.0
60000,2.1136878,999.0,-35.911797,-14443.696594238281,-14443.696594238281,1.0
61000,2.157366,999.0,-33.174263,-15884.880004882812,-15884.880004882812,1.0
62000,2.145499,999.0,-41.93283,-13458.787109375,-13458.787109375,1.0
63000,2.1657403,999.0,-31.82231,-12954.08935546875,-12954.08935546875,1.0
64000,2.0669403,999.0,-41.82804,-17374.88897705078,-17374.88897705078,1.0
65000,2.1858044,999.0,-32.082317,-16599.958709716797,-16599.958709716797,1.0
66000,2.1683543,999.0,-45.033524,-11208.181289672852,-11208.181289672852,1.0
67000,2.1163168,999.0,-38.498497,-13067.272247314453,-13067.272247314453,1.0
68000,2.0930936,999.0,-47.457535,-12763.820373535156,-12763.820373535156,1.0
69000,2.0765207,999.0,-50.427834,-18286.5478515625,-18286.5478515625,1.0
70000,2.1314201,999.0,-37.30796,-15833.439544677734,-15833.439544677734,1.0
71000,2.1283927,999.0,-47.866608,-10426.288162231445,-10426.288162231445,1.0
72000,2.0869539,999.0,-53.99756,-15839.162109375,-15839.162109375,1.0
73000,2.1370413,999.0,-54.228157,-14217.22087097168,-14217.22087097168,1.0
74000,2.0821247,999.0,-39.159794,-12703.048858642578,-12703.048858642578,1.0
75000,2.1540143,999.0,-55.02146,-13054.196884155273,-13054.196884155273,1.0
76000,2.1002426,999.0,-44.89696,-12110.849914550781,-12110.849914550781,1.0
77000,2.1581988,999.0,-57.352135,-11829.308166503906,-11829.308166503906,1.0
78000,2.1604514,999.0,-53.323063,-15177.779815673828,-15177.779815673828,1.0
79000,2.150013,999.0,-39.39725,-13759.546081542969,-13759.546081542969,1.0
80000,2.1466587,999.0,-38.217415,-11994.055923461914,-11994.055923461914,1.0
81000,2.086694,999.0,-62.28112,-15159.72412109375,-15159.72412109375,1.0
82000,2.0445428,527.0,-56.610764,-7430.615180969238,-7430.615180969238,1.0
83000,2.0767117,999.0,-49.43848,-11201.910110473633,-11201.910110473633,1.0
84000,1.8951036,999.0,-82.0888,-12571.022399902344,-12571.022399902344,1.0
85000,2.0710218,999.0,-52.036312,-12431.314102172852,-12431.314102172852,1.0
86000,2.0820322,999.0,-57.681343,-12683.003631591797,-12683.003631591797,1.0
87000,2.121853,999.0,-46.241585,-11989.283935546875,-11989.283935546875,1.0
88000,2.1297884,345.6666666666667,-50.62512,-4085.954429626465,-4085.954429626465,1.0
89000,2.0588322,999.0,-56.706886,-11575.62109375,-11575.62109375,1.0
90000,2.0943682,999.0,-56.609966,-10225.146881103516,-10225.146881103516,1.0
91000,2.143809,999.0,-63.80977,-12421.033874511719,-12421.033874511719,1.0
92000,2.1064675,526.5,-59.48146,-6624.623886108398,-6624.623886108398,1.0
93000,2.124897,499.5,-68.65739,-5727.5103759765625,-5727.5103759765625,1.0
94000,2.1564803,999.0,-77.30209,-13968.370056152344,-13968.370056152344,1.0
95000,2.133282,339.6666666666667,-55.108467,-5364.976224263509,-5364.976224263509,1.0
96000,2.136025,999.0,-52.75177,-11225.036239624023,-11225.036239624023,1.0
97000,2.123112,999.0,-61.87995,-13670.80697631836,-13670.80697631836,1.0
98000,2.1120965,999.0,-64.45926,-14944.717407226562,-14944.717407226562,1.0
99000,2.059366,999.0,-66.89797,-14390.647827148438,-14390.647827148438,1.0
100000,2.1184459,539.5,-79.92521,-8201.786926269531,-8201.786926269531,1.0
101000,2.0284045,999.0,-73.94609,-12097.613037109375,-12097.613037109375,1.0
102000,2.0481558,999.0,-72.903435,-8929.766891479492,-8929.766891479492,1.0
103000,2.043613,999.0,-80.93979,-9187.639877319336,-9187.639877319336,1.0
104000,2.1128545,999.0,-96.29233,-10857.348175048828,-10857.348175048828,1.0
105000,2.1243618,999.0,-75.34341,-8578.25399017334,-8578.25399017334,1.0
106000,2.1450448,999.0,-77.31094,-13325.317199707031,-13325.317199707031,1.0
107000,2.0953481,999.0,-82.93788,-14893.389221191406,-14893.389221191406,1.0
108000,2.1071253,502.0,-87.827965,-6829.123645782471,-6829.123645782471,1.0
109000,1.9175988,999.0,-88.5664,-13753.557434082031,-13753.557434082031,1.0
110000,1.9596031,999.0,-97.63682,-19052.97039794922,-19052.97039794922,1.0
111000,1.9809561,535.5,-102.686035,-5795.628532409668,-5795.628532409668,1.0
112000,2.0936644,999.0,-89.65353,-17894.466674804688,-17894.466674804688,1.0
113000,2.1162884,999.0,-70.11365,-12763.320007324219,-12763.320007324219,1.0
114000,2.0934765,999.0,-64.16313,-11639.734008789062,-11639.734008789062,1.0
115000,2.112683,999.0,-64.3389,-12005.128402709961,-12005.128402709961,1.0
116000,2.1361675,999.0,-86.168785,-11902.140197753906,-11902.140197753906,1.0
117000,2.1243117,999.0,-112.24733,-10371.754333496094,-10371.754333496094,1.0
118000,2.0648694,999.0,-92.43004,-14292.366577148438,-14292.366577148438,1.0
119000,2.0528998,999.0,-84.33926,-14948.582275390625,-14948.582275390625,1.0
