Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.890199,40.0,0.11036183,-176.01003646850586,-176.01003646850586,1.0
2000,2.8899417,165.0,0.07404366,-803.5601463317871,-803.5601463317871,1.0
3000,2.8788328,143.33333333333334,-0.34635344,-663.0501149495443,-663.0501149495443,1.0
4000,2.8781934,167.66666666666666,-0.39143154,-766.8234507242838,-766.8234507242838,1.0
5000,2.8535945,None,-0.67166936,None,None,1.0
6000,2.8417468,529.0,-1.0385897,-2549.960418701172,-2549.960418701172,1.0
7000,2.8166597,608.5,-1.2216978,-2506.900375366211,-2506.900375366211,1.0
8000,2.7669487,825.0,-1.7179087,-3722.520538330078,-3722.520538330078,1.0
9000,2.7575505,999.0,-1.7883435,-3870.0006103515625,-3870.0006103515625,1.0
10000,2.672521,999.0,-2.5018408,-3709.910556793213,-3709.910556793213,1.0
11000,2.6803753,374.0,-2.456068,-1175.4301719665527,-1175.4301719665527,1.0
12000,2.5896962,None,-3.3012567,None,None,1.0
13000,2.550634,512.5,-3.4302907,-1404.8302326202393,-1404.8302326202393,1.0
14000,2.456661,None,-4.4268055,None,None,1.0
15000,2.4244962,999.0,-4.573557,-2199.970380783081,-2199.970380783081,1.0
16000,2.3124464,999.0,-5.059661,-1629.96027469635,-1629.96027469635,1.0
17000,2.3057375,927.5,-5.2292194,-1592.8102855682373,-1592.8102855682373,1.0
18000,2.2698617,999.0,-5.8426337,-1430.0002856254578,-1430.0002856254578,1.0
19000,2.2786543,620.0,-5.83696,-612.0501012802124,-612.0501012802124,1.0
20000,2.2272074,999.0,-6.07354,-679.9601283073425,-679.9601283073425,1.0
21000,2.1964438,None,-6.3778944,None,None,1.0
22000,2.1975992,999.0,-6.5586653,-519.9700844287872,-519.9700844287872,1.0
23000,2.2033577,None,-6.529646,None,None,1.0
24000,2.2050538,999.0,-6.5951824,-199.97000432014465,-199.97000432014465,1.0
25000,2.2014205,999.0,-6.7769666,-244.96001815795898,-244.96001815795898,1.0
26000,2.1959014,999.0,-6.7797933,-230.00001287460327,-230.00001287460327,1.0
27000,2.201453,999.0,-6.817523,-260.00002336502075,-260.00002336502075,1.0
28000,2.2040207,957.6666666666666,-6.8508453,-206.8100152015686,-206.8100152015686,1.0
29000,2.2041202,None,-6.9344816,None,None,1.0
30000,2.1987984,None,-6.94063,None,None,1.0
31000,2.1817636,999.0,-7.129078,-149.96999287605286,-149.96999287605286,1.0
32000,2.1773205,None,-7.215362,None,None,1.0
33000,2.1703827,999.0,-7.3741226,-149.9699957370758,-149.9699957370758,1.0
34000,2.1782541,999.0,-7.307704,-139.9599905014038,-139.9599905014038,1.0
35000,2.168111,999.0,-7.417625,-149.99999570846558,-149.99999570846558,1.0
36000,2.1747425,999.0,-7.366084,-109.99998044967651,-109.99998044967651,1.0
37000,2.166292,999.0,-7.5426645,-113.2799813747406,-113.2799813747406,1.0
38000,2.1774626,None,-7.5645347,None,None,1.0
39000,2.1638596,None,-7.7624044,None,None,1.0
40000,2.174154,999.0,-7.7751656,-119.96998333930969,-119.96998333930969,1.0
41000,2.15966,None,-7.9163914,None,None,1.0
42000,2.1709447,999.0,-7.913249,-119.96998333930969,-119.96998333930969,1.0
43000,2.1502466,999.0,-7.9861736,-109.95998048782349,-109.95998048782349,1.0
44000,2.154567,999.0,-8.030476,-119.99998712539673,-119.99998712539673,1.0
45000,2.1482217,999.0,-8.101309,-119.99998331069946,-119.99998331069946,1.0
46000,2.120033,999.0,-8.087371,-106.61331470807393,-106.61331470807393,1.0
47000,2.1301737,None,-8.1446905,None,None,1.0
48000,2.1270819,None,-8.253136,None,None,1.0
49000,2.1467764,999.0,-8.32141,-99.96997952461243,-99.96997952461243,1.0
50000,2.143962,None,-8.393359,None,None,1.0
51000,2.1264167,999.0,-8.407738,-109.96998429298401,-109.96998429298401,1.0
52000,2.141033,999.0,-8.440683,-99.95997953414917,-99.95997953414917,1.0
53000,2.1337216,999.0,-8.47714,-109.99998044967651,-109.99998044967651,1.0
54000,2.109963,999.0,-8.531359,-99.9999794960022,-99.9999794960022,1.0
55000,2.1159408,999.0,-8.543264,-106.61331407229106,-106.61331407229106,1.0
56000,2.102075,None,-8.660206,None,None,1.0
57000,2.1036863,None,-8.686623,None,None,1.0
58000,2.0990295,999.0,-8.796989,-109.96998238563538,-109.96998238563538,1.0
59000,2.0855422,None,-8.760042,None,None,1.0
60000,2.0775542,999.0,-8.804371,-109.96998429298401,-109.96998429298401,1.0
61000,2.080692,999.0,-8.794661,-104.95998096466064,-104.95998096466064,1.0
62000,2.0522656,999.0,-8.796209,-99.9999794960022,-99.9999794960022,1.0
63000,2.0605376,999.0,-8.884478,-99.9999794960022,-99.9999794960022,1.0
64000,2.0779464,999.0,-8.910863,-99.94664613405864,-99.94664613405864,1.0
65000,2.0998778,None,-8.956546,None,None,1.0
66000,2.0944762,None,-9.09614,None,None,1.0
67000,2.0834084,999.0,-9.17085,-99.96997952461243,-99.96997952461243,1.0
68000,2.0872667,None,-9.136499,None,None,1.0
69000,2.0708025,999.0,-9.167519,-109.96998429298401,-109.96998429298401,1.0
70000,2.0567954,999.0,-9.159767,-99.95997953414917,-99.95997953414917,1.0
71000,2.0552232,999.0,-9.263359,-99.9999794960022,-99.9999794960022,1.0
72000,2.0679622,999.0,-9.269194,-99.9999794960022,-99.9999794960022,1.0
73000,2.0733461,999.0,-9.283385,-103.2799797852834,-103.2799797852834,1.0
74000,2.0761535,None,-9.220182,None,None,1.0
75000,2.061726,None,-9.306644,None,None,1.0
76000,2.0715322,999.0,-9.38703,-99.96997952461243,-99.96997952461243,1.0
77000,2.0840137,None,-9.416314,None,None,1.0
78000,2.0767055,999.0,-9.391159,-99.96997952461243,-99.96997952461243,1.0
79000,2.0502737,999.0,-9.431406,-104.95998001098633,-104.95998001098633,1.0
80000,2.0535083,999.0,-9.405785,-99.9999794960022,-99.9999794960022,1.0
81000,2.0405507,999.0,-9.418619,-99.9999794960022,-99.9999794960022,1.0
82000,2.041542,999.0,-9.399771,-103.27998042106628,-103.27998042106628,1.0
83000,2.0173435,None,-9.342991,None,None,1.0
84000,2.015514,None,-9.385826,None,None,1.0
85000,2.0504558,999.0,-9.441514,-119.96998524665833,-119.96998524665833,1.0
86000,2.0563438,None,-9.519476,None,None,1.0
87000,2.0234332,999.0,-9.607986,-109.96998238563538,-109.96998238563538,1.0
88000,2.02779,999.0,-9.606365,-99.95997953414917,-99.95997953414917,1.0
89000,2.014996,999.0,-9.505344,-99.9999794960022,-99.9999794960022,1.0
90000,2.0099173,999.0,-9.494756,-99.9999794960022,-99.9999794960022,1.0
91000,2.0200398,999.0,-9.490915,-106.61331470807393,-106.61331470807393,1.0
92000,2.0325499,None,-9.62323,None,None,1.0
93000,2.014983,None,-9.633089,None,None,1.0
94000,2.018448,999.0,-9.621126,-109.96998047828674,-109.96998047828674,1.0
95000,2.02495,None,-9.641182,None,None,1.0
96000,2.034664,999.0,-9.623058,-99.96997952461243,-99.96997952461243,1.0
97000,2.0308044,999.0,-9.599026,-104.95998096466064,-104.95998096466064,1.0
98000,2.0351472,999.0,-9.63017,-119.99998331069946,-119.99998331069946,1.0
99000,2.0499883,999.0,-9.743826,-99.9999794960022,-99.9999794960022,1.0
100000,2.0542448,999.0,-9.687295,-103.27998042106628,-103.27998042106628,1.0
101000,2.0340934,None,-9.646588,None,None,1.0
102000,1.9888484,None,-9.660252,None,None,1.0
103000,1.9877899,999.0,-9.606589,-109.96998238563538,-109.96998238563538,1.0
104000,1.9832524,None,-9.589982,None,None,1.0
105000,1.9868956,999.0,-9.588085,-99.96997952461243,-99.96997952461243,1.0
106000,1.9556773,999.0,-9.587999,-104.95998072624207,-104.95998072624207,1.0
107000,1.9828169,999.0,-9.5612545,-99.9999794960022,-99.9999794960022,1.0
108000,2.0052974,999.0,-9.654213,-99.9999794960022,-99.9999794960022,1.0
109000,2.0003712,999.0,-9.659549,-99.94664613405864,-99.94664613405864,1.0
110000,2.0149264,None,-9.819948,None,None,1.0
111000,2.0160441,None,-9.754948,None,None,1.0
112000,2.0010328,999.0,-9.777136,-99.96997952461243,-99.96997952461243,1.0
113000,1.9956177,None,-9.776971,None,None,1.0
114000,1.9824936,999.0,-9.788645,-119.96998333930969,-119.96998333930969,1.0
115000,1.9923968,999.0,-9.716404,-109.95998239517212,-109.95998239517212,1.0
116000,1.927886,999.0,-9.745449,-99.9999794960022,-99.9999794960022,1.0
117000,1.9350289,999.0,-9.752134,-109.99998235702515,-109.99998235702515,1.0
118000,1.9175031,999.0,-9.75343,-99.94664613405864,-99.94664613405864,1.0
119000,1.9091246,None,-9.780456,None,None,1.0
120000,1.9625646,None,-9.768311,None,None,1.0
121000,1.9653274,999.0,-9.684575,-109.96998238563538,-109.96998238563538,1.0
122000,1.890314,None,-9.707819,None,None,1.0
123000,1.9135921,999.0,-9.653536,-99.96997952461243,-99.96997952461243,1.0
124000,1.9023356,999.0,-9.63405,-99.95997953414917,-99.95997953414917,1.0
125000,1.8705614,999.0,-9.5924015,-99.9999794960022,-99.9999794960022,1.0
126000,1.9341642,999.0,-9.559528,-109.99998235702515,-109.99998235702515,1.0
127000,1.8257247,999.0,-9.670731,-106.61331407229106,-106.61331407229106,1.0
128000,1.9051986,None,-9.634822,None,None,1.0
129000,1.8247448,None,-9.634865,None,None,1.0
130000,1.752012,999.0,-9.643737,-99.96997952461243,-99.96997952461243,1.0
131000,1.7452859,None,-9.691195,None,None,1.0
132000,1.8193069,999.0,-9.663082,-109.96998429298401,-109.96998429298401,1.0
133000,1.885637,999.0,-9.670937,-99.95997953414917,-99.95997953414917,1.0
134000,1.873776,999.0,-9.64715,-109.99998426437378,-109.99998426437378,1.0
135000,1.9105211,999.0,-9.733161,-99.9999794960022,-99.9999794960022,1.0
136000,1.8661195,999.0,-9.66296,-109.94664963086446,-109.94664963086446,1.0
137000,1.9359257,None,-9.663774,None,None,1.0
138000,1.8631343,None,-9.640804,None,None,1.0
139000,1.8502514,999.0,-9.628384,-99.96997952461243,-99.96997952461243,1.0
140000,1.8368326,None,-9.623014,None,None,1.0
141000,1.9275992,999.0,-9.652613,-99.96997952461243,-99.96997952461243,1.0
142000,1.8229663,999.0,-9.728189,-109.95998334884644,-109.95998334884644,1.0
143000,1.8254626,999.0,-9.681051,-99.9999794960022,-99.9999794960022,1.0
144000,1.7923927,999.0,-9.695286,-99.9999794960022,-99.9999794960022,1.0
145000,1.7787547,999.0,-9.6839695,-103.2799797852834,-103.2799797852834,1.0
146000,1.9045625,None,-9.676267,None,None,1.0
147000,1.9308153,None,-9.649183,None,None,1.0
148000,1.8069588,999.0,-9.650679,-99.96997952461243,-99.96997952461243,1.0
149000,1.7017119,None,-9.655851,None,None,1.0
150000,1.5931859,999.0,-9.68446,-109.96998047828674,-109.96998047828674,1.0
151000,1.5212564,999.0,-9.6985035,-99.95997953414917,-99.95997953414917,1.0
152000,1.7630408,999.0,-9.776257,-99.9999794960022,-99.9999794960022,1.0
153000,1.8416653,999.0,-9.756776,-99.9999794960022,-99.9999794960022,1.0
154000,1.7442343,999.0,-9.805262,-103.27998042106628,-103.27998042106628,1.0
155000,1.9447174,None,-9.780948,None,None,1.0
156000,1.8767923,None,-9.7849455,None,None,1.0
157000,1.8757542,999.0,-9.762488,-99.96997952461243,-99.96997952461243,1.0
158000,1.9716014,None,-9.791349,None,None,1.0
159000,1.8745524,999.0,-9.752802,-99.96997952461243,-99.96997952461243,1.0
160000,1.8825299,999.0,-9.789534,-99.95997953414917,-99.95997953414917,1.0
161000,1.886214,999.0,-9.812603,-99.9999794960022,-99.9999794960022,1.0
162000,1.9645339,999.0,-9.813873,-99.9999794960022,-99.9999794960022,1.0
163000,1.8577816,999.0,-9.839395,-99.94664613405864,-99.94664613405864,1.0
164000,1.9283057,None,-9.797482,None,None,1.0
165000,1.8361108,None,-9.797033,None,None,1.0
166000,1.8621246,999.0,-9.782787,-99.96997952461243,-99.96997952461243,1.0
167000,1.827617,None,-9.794746,None,None,1.0
168000,1.807167,999.0,-9.79385,-99.96997952461243,-99.96997952461243,1.0
169000,1.7823399,999.0,-9.788351,-99.95997953414917,-99.95997953414917,1.0
170000,1.8099709,999.0,-9.783017,-99.9999794960022,-99.9999794960022,1.0
171000,1.8059624,999.0,-9.807486,-99.9999794960022,-99.9999794960022,1.0
172000,1.8386264,999.0,-9.789883,-99.94664613405864,-99.94664613405864,1.0
173000,1.8948951,None,-9.793795,None,None,1.0
174000,1.7692771,None,-9.780743,None,None,1.0
175000,1.6870862,999.0,-9.80266,-99.96997952461243,-99.96997952461243,1.0
176000,1.7384557,None,-9.785406,None,None,1.0
177000,1.8543895,999.0,-9.806369,-99.96997952461243,-99.96997952461243,1.0
178000,1.8005799,999.0,-9.801436,-99.95997953414917,-99.95997953414917,1.0
179000,1.8129998,999.0,-9.806492,-99.9999794960022,-99.9999794960022,1.0
180000,1.8352466,999.0,-9.780149,-99.9999794960022,-99.9999794960022,1.0
181000,1.7693748,999.0,-9.793899,-99.94664613405864,-99.94664613405864,1.0
182000,1.7527279,None,-9.780994,None,None,1.0
183000,1.8133625,None,-9.803951,None,None,1.0
184000,1.8276193,999.0,-9.7807045,-99.96997952461243,-99.96997952461243,1.0
185000,1.7626565,None,-9.793288,None,None,1.0
186000,1.70078,999.0,-9.800722,-99.96997952461243,-99.96997952461243,1.0
187000,1.7172124,999.0,-9.79755,-99.95997953414917,-99.95997953414917,1.0
188000,1.6838508,999.0,-9.802218,-99.9999794960022,-99.9999794960022,1.0
189000,1.6765884,999.0,-9.805099,-99.9999794960022,-99.9999794960022,1.0
190000,1.6883935,999.0,-9.805495,-99.94664613405864,-99.94664613405864,1.0
191000,1.7032012,None,-9.837979,None,None,1.0
192000,1.7124251,None,-9.901482,None,None,1.0
193000,1.6538079,999.0,-9.887307,-99.96997952461243,-99.96997952461243,1.0
194000,1.6787324,None,-9.883669,None,None,1.0
195000,1.6485277,999.0,-9.872329,-99.96997952461243,-99.96997952461243,1.0
196000,1.6705146,999.0,-9.879936,-104.95998191833496,-104.95998191833496,1.0
197000,1.7142295,999.0,-9.868211,-109.99998235702515,-109.99998235702515,1.0
198000,1.6583464,999.0,-9.863384,-99.9999794960022,-99.9999794960022,1.0
199000,1.6275253,999.0,-9.879211,-99.94664613405864,-99.94664613405864,1.0
200000,1.6542535,None,-9.8550415,None,None,1.0
201000,1.5370615,None,-9.862333,None,None,1.0
202000,1.5578227,999.0,-9.847174,-99.96997952461243,-99.96997952461243,1.0
203000,1.61646,None,-9.826274,None,None,1.0
204000,1.5365257,999.0,-9.821768,-99.96997952461243,-99.96997952461243,1.0
205000,1.579529,999.0,-9.819748,-99.95997953414917,-99.95997953414917,1.0
206000,1.6451386,999.0,-9.817893,-99.9999794960022,-99.9999794960022,1.0
207000,1.6708093,999.0,-9.809336,-99.9999794960022,-99.9999794960022,1.0
208000,1.5968499,999.0,-9.827505,-99.94664613405864,-99.94664613405864,1.0
209000,1.5998377,None,-9.846034,None,None,1.0
210000,1.5290225,None,-9.820651,None,None,1.0
211000,1.4969594,999.0,-9.8131485,-99.96997952461243,-99.96997952461243,1.0
212000,1.5959132,None,-9.821981,None,None,1.0
213000,1.55221,999.0,-9.831125,-99.96997952461243,-99.96997952461243,1.0
214000,1.5878394,999.0,-9.8405485,-99.95997953414917,-99.95997953414917,1.0
215000,1.6121211,999.0,-9.855703,-99.9999794960022,-99.9999794960022,1.0
216000,1.6127782,999.0,-9.827465,-99.9999794960022,-99.9999794960022,1.0
217000,1.5820278,999.0,-9.835782,-99.94664613405864,-99.94664613405864,1.0
218000,1.6183883,None,-9.840226,None,None,1.0
219000,1.6339496,None,-9.8365555,None,None,1.0
220000,1.6137223,999.0,-9.816115,-99.96997952461243,-99.96997952461243,1.0
221000,1.5920537,None,-9.81946,None,None,1.0
222000,1.5992746,999.0,-9.797871,-99.96997952461243,-99.96997952461243,1.0
223000,1.5824105,999.0,-9.807422,-99.95997953414917,-99.95997953414917,1.0
224000,1.5795425,999.0,-9.797653,-99.9999794960022,-99.9999794960022,1.0
225000,1.5402434,999.0,-9.82515,-99.9999794960022,-99.9999794960022,1.0
226000,1.5839016,999.0,-9.819743,-99.94664613405864,-99.94664613405864,1.0
227000,1.6248379,None,-9.827136,None,None,1.0
228000,1.5951202,None,-9.817699,None,None,1.0
229000,1.50098,999.0,-9.826038,-99.96997952461243,-99.96997952461243,1.0
230000,1.4926007,None,-9.825814,None,None,1.0
231000,1.5262176,999.0,-9.821955,-99.96997952461243,-99.96997952461243,1.0
232000,1.5351548,999.0,-9.812569,-99.95997953414917,-99.95997953414917,1.0
233000,1.5052377,999.0,-9.825934,-99.9999794960022,-99.9999794960022,1.0
234000,1.55725,999.0,-9.830437,-99.9999794960022,-99.9999794960022,1.0
235000,1.5544747,999.0,-9.833703,-99.94664613405864,-99.94664613405864,1.0
236000,1.5882682,None,-9.825898,None,None,1.0
237000,1.5724581,None,-9.828461,None,None,1.0
238000,1.5681959,999.0,-9.814877,-99.96997952461243,-99.96997952461243,1.0
239000,1.6001526,None,-9.815847,None,None,1.0
240000,1.6087592,999.0,-9.825598,-99.96997952461243,-99.96997952461243,1.0
241000,1.5575418,999.0,-9.835301,-99.95997953414917,-99.95997953414917,1.0
242000,1.5836293,999.0,-9.8382,-99.9999794960022,-99.9999794960022,1.0
243000,1.5248678,999.0,-9.838599,-99.9999794960022,-99.9999794960022,1.0
244000,1.5638828,999.0,-9.853929,-99.94664613405864,-99.94664613405864,1.0
245000,1.614351,None,-9.84954,None,None,1.0
246000,1.5496031,None,-9.86541,None,None,1.0
247000,1.5729696,999.0,-9.846025,-99.96997952461243,-99.96997952461243,1.0
248000,1.5487382,None,-9.857229,None,None,1.0
249000,1.5072435,999.0,-9.84548,-99.96997952461243,-99.96997952461243,1.0
250000,1.5631548,999.0,-9.874256,-99.95997953414917,-99.95997953414917,1.0
251000,1.5871247,999.0,-9.865724,-99.9999794960022,-99.9999794960022,1.0
252000,1.6216447,999.0,-9.876051,-99.9999794960022,-99.9999794960022,1.0
253000,1.5841218,999.0,-9.871872,-99.94664613405864,-99.94664613405864,1.0
254000,1.6783333,None,-9.882065,None,None,1.0
255000,1.6777868,None,-9.861414,None,None,1.0
256000,1.6000601,999.0,-9.8753395,-99.96997952461243,-99.96997952461243,1.0
257000,1.6460648,None,-9.874163,None,None,1.0
258000,1.5876921,999.0,-9.877623,-99.96997952461243,-99.96997952461243,1.0
259000,1.5871874,999.0,-9.874674,-99.95997953414917,-99.95997953414917,1.0
260000,1.5739635,999.0,-9.875126,-99.9999794960022,-99.9999794960022,1.0
261000,1.5376562,999.0,-9.881818,-99.9999794960022,-99.9999794960022,1.0
262000,1.5357373,999.0,-9.894127,-99.94664613405864,-99.94664613405864,1.0
263000,1.5926871,None,-9.904637,None,None,1.0
264000,1.5532942,None,-9.892185,None,None,1.0
265000,1.6089914,999.0,-9.897314,-99.96997952461243,-99.96997952461243,1.0
266000,1.6045647,None,-9.892014,None,None,1.0
267000,1.5845282,999.0,-9.89389,-99.96997952461243,-99.96997952461243,1.0
268000,1.6576551,999.0,-9.882286,-99.95997953414917,-99.95997953414917,1.0
269000,1.6011815,999.0,-9.896961,-99.9999794960022,-99.9999794960022,1.0
270000,1.6051438,999.0,-9.890459,-99.9999794960022,-99.9999794960022,1.0
271000,1.6416198,999.0,-9.914047,-99.94664613405864,-99.94664613405864,1.0
272000,1.6770905,None,-9.89961,None,None,1.0
273000,1.6948292,None,-9.90387,None,None,1.0
274000,1.6601738,999.0,-9.903946,-99.96997952461243,-99.96997952461243,1.0
275000,1.7065172,None,-9.900855,None,None,1.0
276000,1.6610302,999.0,-9.894354,-99.96997952461243,-99.96997952461243,1.0
277000,1.6605567,999.0,-9.90064,-99.95997953414917,-99.95997953414917,1.0
278000,1.6395682,999.0,-9.896988,-99.9999794960022,-99.9999794960022,1.0
279000,1.6256781,999.0,-9.924574,-99.9999794960022,-99.9999794960022,1.0
280000,1.602866,999.0,-9.939541,-99.94664613405864,-99.94664613405864,1.0
281000,1.6457818,None,-9.938526,None,None,1.0
282000,1.6501474,None,-9.9281435,None,None,1.0
283000,1.6617725,999.0,-9.931632,-99.96997952461243,-99.96997952461243,1.0
284000,1.6749929,None,-9.929655,None,None,1.0
285000,1.6758221,999.0,-9.917753,-99.96997952461243,-99.96997952461243,1.0
