Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,2.5748284,12.639477977161501,-0.8128287,-0.9533130557810674,-0.9533130557810674,0.062801905,3.4000611,0.00029992047,0.19997348,0.0049986765,1.0
20000,2.4200137,117.89473684210526,-0.57099503,-0.963790857032026,-0.963790857032026,0.006924959,1.0245707,0.0002995483,0.19984943,0.0049924864,1.0
30000,2.3923166,None,-0.32150668,None,None,0.0006611341,0.8172111,0.00029924748,0.19974916,0.004987483,1.0
40000,2.3776724,740.9354838709677,-0.2729635,-0.3737517122454251,-0.3737517122454251,0.005594773,0.911276,0.00029895327,0.19965108,0.0049825897,1.0
50000,2.3810756,799.2,-0.16167474,-0.4207999931116189,-0.4207999931116189,0.004652151,0.86113447,0.00029864663,0.19954889,0.0049774884,1.0
60000,2.3940637,999.0,-0.106167205,-0.11860000202432275,-0.11860000202432275,9.339357e-05,0.7466281,0.000298342,0.19944733,0.0049724216,1.0
70000,2.4097652,817.3333333333334,-0.11618689,-0.31723332730265,-0.31723332730265,0.0062423,0.58904165,0.0002980481,0.19934937,0.004967533,1.0
80000,2.3827472,999.0,-0.07956513,-0.26580001041293144,-0.26580001041293144,0.00017308311,0.69845676,0.00029775023,0.19925006,0.004962578,1.0
90000,2.3022127,944.8666666666667,-0.06622929,-0.15901667102540765,-0.15901667102540765,0.0002054908,0.60510314,0.0002974457,0.19914857,0.004957513,1.0
100000,2.1829636,927.6428571428571,-0.098203145,-0.323258824470138,-0.323258824470138,0.0040762536,0.73392534,0.0002971528,0.1990509,0.0049526403,1.0
110000,2.1050372,None,-0.06349027,None,None,4.6213183e-05,0.7474371,0.0002968504,0.19895014,0.0049476116,1.0
120000,1.8596886,951.4761904761905,-0.056598697,-0.30324762572889175,-0.30324762572889175,0.003395154,0.6516812,0.0002965493,0.19884977,0.0049426025,1.0
130000,1.6177837,999.0,-0.06825091,-0.3050857251177409,-0.3050857251177409,0.00029333174,0.58231676,0.00029625557,0.19875187,0.0049377177,1.0
140000,1.5394815,999.0,-0.076267526,-0.15600000446041426,-0.15600000446041426,4.7657515e-05,0.84147763,0.00029595022,0.19865006,0.004932638,1.0
150000,1.4656605,999.0,-0.08479994,-0.21318095925519065,-0.21318095925519065,5.8115966e-05,0.89150846,0.0002956526,0.19855088,0.0049276887,1.0
