Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
115000,0.6467969,-22.89542,67.6470588235294,-64.21999908896053,-64.21999908896053,1.0
116000,0.65681356,-23.181845,75.78571428571429,-74.35153953845685,-74.35153953845685,1.0
117000,0.63488334,-23.127413,87.9090909090909,-85.690908648751,-85.690908648751,1.0
118000,0.61359006,-23.677328,71.07692307692308,-66.18285182544163,-66.18285182544163,1.0
119000,0.6114216,-22.7771,58.72222222222222,-51.66823302998262,-51.66823302998262,1.0
120000,0.54628164,-24.029324,64.2,-63.75333121617635,-63.75333121617635,1.0
121000,0.56340855,-23.620623,56.76470588235294,-51.60444246398078,-51.60444246398078,1.0
122000,0.57655543,-23.269156,62.0,-57.781873911619186,-57.781873911619186,1.0
123000,0.58838105,-23.886108,78.61538461538461,-78.45833082993825,-78.45833082993825,1.0
124000,0.5642595,-23.883125,89.45454545454545,-86.82454499331388,-86.82454499331388,1.0
125000,0.52432,-23.221607,68.64285714285714,-63.960666020711265,-63.960666020711265,1.0
126000,0.58299845,-23.361748,81.5,-78.78916736443837,-78.78916736443837,1.0
127000,0.57537687,-24.282774,93.0909090909091,-91.64699935913086,-91.64699935913086,1.0
128000,0.5030563,-23.581757,80.83333333333333,-82.05333089828491,-82.05333089828491,1.0
129000,0.52762806,-23.356276,66.0,-60.29133262634277,-60.29133262634277,1.0
130000,0.52742803,-24.142096,88.0,-92.60090966658159,-92.60090966658159,1.0
131000,0.60880494,-24.809052,69.5,-62.10133387247721,-62.10133387247721,1.0
132000,0.53151464,-24.326279,99.22222222222223,-98.00444412231445,-98.00444412231445,1.0
133000,0.5963514,-25.73352,217.0,-227.87200183868407,-227.87200183868407,1.0
134000,0.5935088,-24.130194,75.28571428571429,-68.56768963887141,-68.56768963887141,1.0
135000,0.5891542,-24.221783,65.83333333333333,-66.86614949886615,-66.86614949886615,1.0
136000,0.56595117,-24.869131,64.58823529411765,-60.81352831335629,-60.81352831335629,1.0
137000,0.5786484,-24.303577,69.57142857142857,-66.32642773219517,-66.32642773219517,1.0
138000,0.585866,-24.540289,58.27777777777778,-54.87646818161011,-54.87646818161011,1.0
139000,0.5843061,-24.370838,59.5,-53.634704645942236,-53.634704645942236,1.0
140000,0.60195065,-25.664873,111.77777777777777,-115.95499980449677,-115.95499980449677,1.0
141000,0.57304764,-25.239502,79.0,-77.10076779585619,-77.10076779585619,1.0
142000,0.6015171,-24.991858,60.0625,-55.8262482881546,-55.8262482881546,1.0
143000,0.5960692,-25.107105,46.142857142857146,-40.17856940769014,-40.17856940769014,1.0
144000,0.55692834,-24.88429,59.94117647058823,-55.42117449816536,-55.42117449816536,1.0
145000,0.53053343,-25.300295,75.16666666666667,-71.67333245277405,-71.67333245277405,1.0
146000,0.5367939,-24.820797,54.1578947368421,-48.94157748473318,-48.94157748473318,1.0
147000,0.5774458,-25.894392,70.46666666666667,-61.202143566949026,-61.202143566949026,1.0
148000,0.5503767,-25.500816,58.25,-59.59529413896448,-59.59529413896448,1.0
149000,0.5575937,-25.375565,61.1875,-57.224999725818634,-57.224999725818634,1.0
150000,0.57630825,-26.38107,73.27272727272727,-70.26999772678722,-70.26999772678722,1.0
151000,0.5679508,-25.413853,100.08333333333333,-98.74166572093964,-98.74166572093964,1.0
152000,0.57768303,-25.75259,86.27272727272727,-84.80454358187589,-84.80454358187589,1.0
153000,0.5811105,-25.8813,55.94736842105263,-52.246110889646744,-52.246110889646744,1.0
154000,0.58148456,-26.288431,81.72727272727273,-74.57499591509502,-74.57499591509502,1.0
155000,0.5773971,-26.596409,53.25,-46.320526022660104,-46.320526022660104,1.0
156000,0.501319,-25.699268,42.75,-38.87142812638056,-38.87142812638056,1.0
157000,0.50743145,-25.806955,68.6875,-67.1706647237142,-67.1706647237142,1.0
158000,0.57317275,-26.682556,112.66666666666667,-111.86110957463582,-111.86110957463582,1.0
159000,0.5049885,-25.288185,50.421052631578945,-36.3821042964333,-36.3821042964333,1.0
160000,0.5211477,-26.297218,77.46153846153847,-81.82538395661574,-81.82538395661574,1.0
161000,0.49494424,-26.704357,110.625,-112.80221949683295,-112.80221949683295,1.0
162000,0.51665306,-27.084599,153.57142857142858,-161.80833371480307,-161.80833371480307,1.0
163000,0.46479064,-26.498644,83.58333333333333,-70.99083383878072,-70.99083383878072,1.0
164000,0.48509413,-27.062803,72.21428571428571,-83.96785521507263,-83.96785521507263,1.0
165000,0.4344105,-26.674051,60.875,-56.04687315225601,-56.04687315225601,1.0
166000,0.41157702,-25.58097,55.35294117647059,-50.12833253542582,-50.12833253542582,1.0
167000,0.45189562,-27.40326,84.9090909090909,-82.31727140600032,-82.31727140600032,1.0
168000,0.4404691,-26.954731,65.875,-64.81133136749267,-64.81133136749267,1.0
169000,0.4421803,-26.207203,51.35,-44.256998324394225,-44.256998324394225,1.0
170000,0.43261522,-26.194784,51.44444444444444,-49.80166204770406,-49.80166204770406,1.0
