Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.791563,-0.04427403,205.6,-650.5500659942627,-650.5500659942627,1.0
2000,1.7915412,-0.0037431095,225.66666666666666,-886.5725963115692,-886.5725963115692,1.0
3000,1.7772381,-0.547721,90.81818181818181,-294.2445817427202,-294.2445817427202,1.0
4000,1.7768912,-0.5812101,214.0,-591.6080619812012,-591.6080619812012,1.0
5000,1.745356,-1.1774905,153.4,-544.5000527699789,-544.5000527699789,1.0
6000,1.7399988,-1.2726885,269.75,-765.1200866699219,-765.1200866699219,1.0
7000,1.6863332,-2.018955,284.25,-655.9434229532877,-655.9434229532877,1.0
8000,1.6792103,-2.0858269,194.33333333333334,-597.285071015358,-597.285071015358,1.0
9000,1.6220984,-2.8745635,253.4,-593.9660621643067,-593.9660621643067,1.0
10000,1.6025288,-3.2009895,263.0,-551.555074095726,-551.555074095726,1.0
11000,1.5677847,-3.8275204,109.55555555555556,-220.8989143371582,-220.8989143371582,1.0
12000,1.5443465,-4.332891,50.714285714285715,-88.98214789799282,-88.98214789799282,1.0
13000,1.5187132,-4.7094007,120.625,-214.84377548098564,-214.84377548098564,1.0
14000,1.5001813,-5.1864777,114.27272727272727,-196.29274207895452,-196.29274207895452,1.0
15000,1.4558023,-5.670319,99.45454545454545,-164.23546665365046,-164.23546665365046,1.0
16000,1.4409355,-6.1120806,81.66666666666667,-126.93500967820485,-126.93500967820485,1.0
17000,1.3967685,-6.333138,84.8,-123.35700721740723,-123.35700721740723,1.0
18000,1.3750242,-6.7032733,126.11111111111111,-193.2933460606469,-193.2933460606469,1.0
19000,1.3650384,-6.8058915,71.5,-99.05917119979858,-99.05917119979858,1.0
20000,1.3321632,-7.2519903,101.375,-146.08125579357147,-146.08125579357147,1.0
21000,1.3125889,-7.466858,260.0,-382.34003484249115,-382.34003484249115,1.0
22000,1.2712886,-8.038742,96.07692307692308,-129.01308784118066,-129.01308784118066,1.0
23000,1.2477388,-8.245625,70.15384615384616,-89.26923909554115,-89.26923909554115,1.0
24000,1.2048194,-8.546606,96.2,-127.90000867843628,-127.90000867843628,1.0
25000,1.2070618,-8.529098,85.08333333333333,-110.42084181308746,-110.42084181308746,1.0
