Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.1958706,499.5,0.02874858,1000.0,1000.0,1.0
2000,2.190411,999.0,0.22752962,-177.5053677558899,-177.5053677558899,1.0
3000,2.194098,999.0,-0.2042887,-167.0488429069519,-167.0488429069519,1.0
4000,2.1947646,999.0,-0.29958695,-195.7514626979828,-195.7514626979828,1.0
5000,2.1837642,999.0,-0.5091371,-233.3349642753601,-233.3349642753601,1.0
6000,2.1873631,52.0,0.6314043,432.93112272024155,432.93112272024155,1.0
7000,2.179888,999.0,0.12158013,-183.45859575271606,-183.45859575271606,1.0
8000,2.1737816,999.0,0.44605395,-162.62554323673248,-162.62554323673248,1.0
9000,2.1923456,999.0,0.50279343,-221.98966121673584,-221.98966121673584,1.0
10000,2.175693,999.0,0.5829758,-193.49717116355896,-193.49717116355896,1.0
11000,2.1575618,999.0,-0.26626807,-142.07561445236206,-142.07561445236206,1.0
12000,2.1742043,763.5,-0.124294475,391.7582058310509,391.7582058310509,1.0
13000,2.1637805,999.0,0.07332216,-83.67646884918213,-83.67646884918213,1.0
14000,2.1610513,999.0,-0.35466573,-102.47417855262756,-102.47417855262756,1.0
15000,2.1585815,999.0,-0.42714143,-108.4524974822998,-108.4524974822998,1.0
16000,2.1606176,999.0,-0.17134506,-98.88629841804504,-98.88629841804504,1.0
17000,2.1568415,282.5,0.24039784,1023.9355595111847,1023.9355595111847,1.0
18000,2.0929742,364.6666666666667,1.383208,646.735270023346,646.735270023346,1.0
19000,2.117509,739.5,0.51738,405.7710552215576,405.7710552215576,1.0
20000,2.097822,399.3333333333333,0.85164183,625.0284808476766,625.0284808476766,1.0
21000,2.0860755,209.2,1.1477481,1042.6453560829164,1042.6453560829164,1.0
22000,2.160849,999.0,1.2531245,-165.02155804634094,-165.02155804634094,1.0
23000,2.139076,266.5,1.350982,1083.1701624393463,1083.1701624393463,1.0
24000,2.0180156,266.2,2.225986,827.6699882507324,827.6699882507324,1.0
25000,2.0915487,580.0,2.0174828,-230.2310664653778,-230.2310664653778,1.0
26000,2.086195,999.0,2.6912036,1024.7859716415405,1024.7859716415405,1.0
27000,2.090604,92.5,0.5260842,656.7455684343973,656.7455684343973,1.0
28000,2.101232,529.5,2.7151194,460.10316491127014,460.10316491127014,1.0
29000,2.1265142,999.0,3.249142,-171.63753378391266,-171.63753378391266,1.0
30000,2.072099,530.0,1.3319185,527.559800863266,527.559800863266,1.0
31000,1.8010161,999.0,2.3754241,-132.20843529701233,-132.20843529701233,1.0
32000,2.0222838,999.0,0.07286593,-116.61682605743408,-116.61682605743408,1.0
33000,2.1344593,999.0,1.9520149,-163.53210878372192,-163.53210878372192,1.0
34000,2.1199434,529.5,1.2612286,454.0875735282898,454.0875735282898,1.0
35000,2.1456602,999.0,-1.6519036,-64.85198259353638,-64.85198259353638,1.0
36000,1.9142866,999.0,2.6474066,-76.85161924362183,-76.85161924362183,1.0
37000,2.0137846,999.0,1.4807397,-151.13560700416565,-151.13560700416565,1.0
38000,2.1269166,640.5,-0.71931976,450.69312739372253,450.69312739372253,1.0
39000,2.1236427,269.0,-0.65584755,1042.241794705391,1042.241794705391,1.0
40000,2.1437275,503.0,1.1398112,439.0832805633545,439.0832805633545,1.0
41000,1.7095171,999.0,6.0098453,-210.81461358070374,-210.81461358070374,1.0
42000,1.9976033,231.85714285714286,3.7021675,875.7997539384024,875.7997539384024,1.0
43000,2.1215806,558.5,4.7136765,427.59506195783615,427.59506195783615,1.0
44000,2.0598743,116.33333333333333,3.4984581,1066.2711114883423,1066.2711114883423,1.0
45000,2.0431232,317.75,3.4330838,760.2239077538252,760.2239077538252,1.0
46000,2.063815,300.5,2.8788774,753.7025285363197,753.7025285363197,1.0
47000,2.1271484,521.5,2.526318,417.9140042066574,417.9140042066574,1.0
