Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,2.6180549,7.673659673659674,-0.85779274,-0.9548756411281701,-0.9548756411281701,0.0691725,3.0696757,0.00029992388,0.19997461,0.0049987338,1.0
20000,2.4476306,121.44,-0.5414036,-0.9519480903701926,-0.9519480903701926,0.010672545,1.0466732,0.000299554,0.19985133,0.004992581,1.0
30000,2.4033296,479.125,-0.4408052,-0.6071499716490507,-0.6071499716490507,0.00058300316,0.86136293,0.0002992379,0.19974595,0.0049873227,1.0
40000,2.2010748,451.25,-0.54256773,-0.6392624684037097,-0.6392624684037097,0.006790552,1.0306859,0.00029894733,0.1996491,0.00498249,1.0
50000,2.2041864,378.6,-0.4641746,-0.8420266257598996,-0.8420266257598996,0.0040490595,1.0018818,0.00029864712,0.19954906,0.0049774973,1.0
60000,2.2149158,960.1666666666666,-0.3902873,-0.3576666720133896,-0.3576666720133896,0.00072800147,0.7634542,0.00029834744,0.19944914,0.0049725114,1.0
70000,2.1800635,928.7142857142857,-0.39772686,-0.4769692401415131,-0.4769692401415131,0.0014461338,0.8178651,0.0002980485,0.1993495,0.0049675405,1.0
80000,2.0891535,879.375,-0.3676307,-0.5186600109562278,-0.5186600109562278,0.0009302378,0.8192712,0.0002977515,0.19925049,0.0049626,1.0
90000,1.8825144,999.0,-0.40833393,-0.2983777852108081,-0.2983777852108081,0.00023523204,0.8244001,0.00029744866,0.19914958,0.004957563,1.0
100000,1.7285831,931.6,-0.41028556,-0.35360000644189615,-0.35360000644189615,0.00076736644,0.8233907,0.00029715104,0.19905034,0.004952613,1.0
110000,1.509945,781.3333333333334,-0.35803995,-0.4474857189426465,-0.4474857189426465,0.0021077902,0.8091724,0.0002968522,0.19895074,0.0049476414,1.0
120000,1.4483926,929.5333333333333,-0.31265578,-0.5402400106502075,-0.5402400106502075,0.0021610772,0.83596444,0.0002965515,0.1988505,0.0049426397,1.0
130000,1.4250633,999.0,-0.29765934,-0.464311128637443,-0.464311128637443,0.00016318225,0.74189436,0.00029625447,0.1987515,0.0049376995,1.0
140000,1.4728326,896.875,-0.25977245,-0.5063500163960271,-0.5063500163960271,0.001344538,0.7676663,0.0002959533,0.19865109,0.0049326895,1.0
150000,1.5144798,936.8571428571429,-0.23460826,-0.4454166840878315,-0.4454166840878315,0.000114240574,0.788587,0.00029565307,0.198551,0.004927695,1.0
160000,1.6584023,888.8181818181819,-0.23152353,-0.699442866408,-0.699442866408,0.0048047164,0.92761177,0.00029535778,0.19845258,0.0049227835,1.0
170000,1.7438258,923.25,-0.21106394,-0.8203428855964116,-0.8203428855964116,0.00076815754,0.66594315,0.00029505845,0.19835281,0.004917805,1.0
180000,1.6953584,999.0,-0.19104357,-0.7631538753003742,-0.7631538753003742,8.262887e-05,0.59006274,0.00029475923,0.1982531,0.004912828,1.0
190000,1.6917125,916.6,-0.19299796,-0.6810666852527194,-0.6810666852527194,0.000104262755,0.56847227,0.00029445958,0.1981532,0.0049078437,1.0
200000,1.7493808,955.6363636363636,-0.2260937,-0.9507800388149917,-0.9507800388149917,0.0008228742,0.68227774,0.00029416,0.19805333,0.004902861,1.0
210000,1.7020631,999.0,-0.20344403,-0.9757400440052152,-0.9757400440052152,2.2698712e-05,0.5800663,0.00029386138,0.19795379,0.0048978943,1.0
220000,1.6705178,999.0,-0.21026245,-0.9933091361414302,-0.9933091361414302,2.6516456e-05,0.60763526,0.00029356033,0.19785343,0.0048928857,1.0
230000,1.7022882,916.0833333333334,-0.21880378,-0.9976167051742474,-0.9976167051742474,0.0034468425,0.66131616,0.00029326102,0.19775367,0.0048879078,1.0
240000,1.7554556,999.0,-0.21286696,-0.9882222668578228,-0.9882222668578228,0.00010544547,0.5177908,0.0002929628,0.19765425,0.0048829475,1.0
250000,1.8861675,999.0,-0.20512931,-0.9906222672046473,-0.9906222672046473,2.64646e-05,0.6437871,0.0002926621,0.19755402,0.0048779454,1.0
260000,1.9527389,999.0,-0.2133706,-0.9963000457112988,-0.9963000457112988,2.4307472e-05,0.6608543,0.00029236265,0.1974542,0.0048729647,1.0
270000,1.9828242,999.0,-0.20911045,-0.9964000454970768,-0.9964000454970768,3.874779e-05,0.66403306,0.00029206244,0.19735414,0.004867972,1.0
280000,1.9832842,999.0,-0.21910337,-0.9948364089835774,-0.9948364089835774,1.3939586e-05,0.6280321,0.00029176188,0.19725396,0.0048629725,1.0
290000,1.8844227,999.0,-0.21375099,-0.9914909540252252,-0.9914909540252252,2.22311e-05,0.655125,0.00029146313,0.1971544,0.004858003,1.0
300000,1.8267132,999.0,-0.20458126,-0.9882667106058862,-0.9882667106058862,1.594582e-05,0.6534096,0.0002911622,0.19705404,0.004852997,1.0
310000,1.7570016,999.0,-0.19965637,-0.990553890569852,-0.990553890569852,2.0065549e-05,0.6671149,0.0002908621,0.19695401,0.0048480053,1.0
320000,1.6837564,999.0,-0.188127,-0.9943000446073711,-0.9943000446073711,1.0448892e-05,0.6427433,0.0002905629,0.19685428,0.0048430287,1.0
330000,1.6622158,995.2222222222222,-0.17457704,-0.9978889342811372,-0.9978889342811372,0.00021745995,0.689711,0.00029026222,0.1967541,0.004838028,1.0
340000,1.6131965,946.7692307692307,-0.14003353,-0.9939167061820626,-0.9939167061820626,9.186975e-06,0.51158077,0.00028996356,0.19665453,0.0048330603,1.0
350000,1.6873069,717.125,-0.14502421,-0.9960571649883475,-0.9960571649883475,0.0060233106,328.61368,0.00028964956,0.19654983,0.0048278375,1.0
360000,1.7413142,777.9166666666666,-0.16365124,-0.9926857259124517,-0.9926857259124517,0.0055304314,5.2098417,0.00028933684,0.19644561,0.004822635,1.0
370000,1.7146983,850.2,-0.15147728,-0.9959636645560915,-0.9959636645560915,0.0013423106,0.54701316,0.00028903765,0.1963459,0.00481766,1.0
380000,1.6948549,929.9285714285714,-0.1295505,-0.9932500381643573,-0.9932500381643573,0.0011458491,0.3626485,0.00028873776,0.19624591,0.004812671,1.0
390000,1.7055545,965.3333333333334,-0.12288471,-0.9946444858279493,-0.9946444858279493,1.6001344e-05,0.36475247,0.0002884388,0.19614626,0.004807699,1.0
400000,1.7328752,660.0,-0.120270744,-0.9905285739472934,-0.9905285739472934,0.0030317288,0.5693329,0.00028814148,0.19604714,0.0048027528,1.0
410000,1.7018217,906.0,-0.10887488,-0.9938400369137526,-0.9938400369137526,0.0012642677,0.5717114,0.00028784247,0.1959475,0.004797779,1.0
420000,1.7146099,856.1333333333333,-0.123004004,-0.9891066953539849,-0.9891066953539849,0.0028601622,0.74113107,0.00028754317,0.19584772,0.004792801,1.0
430000,1.7091689,999.0,-0.09664262,-0.9936000453308225,-0.9936000453308225,3.5309953e-05,0.80069673,0.00028724465,0.19574821,0.0047878358,1.0
440000,1.6918994,960.9166666666666,-0.086461574,-0.9894000431522727,-0.9894000431522727,0.00015681313,0.66124153,0.00028694444,0.19564813,0.0047828415,1.0
450000,1.6720432,916.0833333333334,-0.07346906,-0.993700043165258,-0.993700043165258,0.0013677143,0.6358105,0.0002866462,0.19554873,0.0047778813,1.0
460000,1.6803861,794.6666666666666,-0.08286244,-0.995436390015212,-0.995436390015212,0.0016092589,0.9049461,0.00028634816,0.19544937,0.0047729234,1.0
470000,1.672671,912.2,-0.08668233,-0.9899714679590293,-0.9899714679590293,0.00034399825,0.8126036,0.00028604886,0.1953496,0.004767946,1.0
480000,1.6680924,930.6666666666666,-0.07854636,-0.995784652347748,-0.995784652347748,0.001602896,0.7157847,0.00028575148,0.19525048,0.004762999,1.0
490000,1.6943578,999.0,-0.08544776,-0.9936800442636013,-0.9936800442636013,6.095331e-05,0.51055723,0.00028545232,0.19515076,0.0047580237,1.0
