Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Environment/Episode Length,Is Training
31000,2.1583552,-0.17820665,-99.52999711036682,-99.52999711036682,999.0,1.0
32000,2.1479912,-0.10897752,402.0790231227875,402.0790231227875,549.5,1.0
33000,2.1717367,-0.46665823,46.82893896102905,46.82893896102905,999.0,1.0
34000,2.1327283,0.21500185,-12.692933559417725,-12.692933559417725,999.0,1.0
35000,2.1571443,0.6166966,-96.87304019927979,-96.87304019927979,999.0,1.0
36000,2.1360996,0.34122694,-162.87410855293274,-162.87410855293274,999.0,1.0
37000,2.0793731,-0.2684998,-163.1997995376587,-163.1997995376587,999.0,1.0
38000,2.0715702,-0.3537277,-128.37440085411072,-128.37440085411072,999.0,1.0
39000,2.067968,0.34157255,4.786724090576172,4.786724090576172,999.0,1.0
40000,2.0886319,0.025503933,-63.52534031867981,-63.52534031867981,999.0,1.0
41000,2.0861752,-0.20080876,-120.4059808254242,-120.4059808254242,999.0,1.0
42000,2.1393516,0.5809403,435.8209089040756,435.8209089040756,569.5,1.0
43000,2.1045625,-0.3338779,-32.05456066131592,-32.05456066131592,999.0,1.0
44000,2.1063304,-0.15113987,633.4833417733511,633.4833417733511,380.3333333333333,1.0
45000,2.0809994,0.74380887,-180.80908346176147,-180.80908346176147,999.0,1.0
46000,2.1473272,0.8771634,1049.4930863380432,1049.4930863380432,464.0,1.0
47000,2.139717,-1.2104769,-96.57661318778992,-96.57661318778992,999.0,1.0
48000,2.0260007,-0.48393512,527.1739628314972,527.1739628314972,686.5,1.0
49000,2.002681,0.06328828,37.34327411651611,37.34327411651611,999.0,1.0
50000,2.0915377,0.9000353,649.4593396981558,649.4593396981558,410.6666666666667,1.0
51000,2.1002424,0.41166013,-29.33635187149048,-29.33635187149048,999.0,1.0
52000,2.0182996,0.7083744,1077.360252380371,1077.360252380371,152.0,1.0
53000,2.1333988,0.68181247,699.3447219530741,699.3447219530741,410.3333333333333,1.0
54000,2.0056825,1.5408076,13.855756282806396,13.855756282806396,999.0,1.0
55000,2.0925477,0.71396923,-62.81234860420227,-62.81234860420227,999.0,1.0
56000,2.0985446,1.3292722,646.6299254099528,646.6299254099528,420.3333333333333,1.0
57000,2.120027,2.0442817,-57.0172438621521,-57.0172438621521,999.0,1.0
58000,2.1384306,1.8883269,632.0855412085851,632.0855412085851,362.3333333333333,1.0
59000,2.123675,1.7082286,496.83788645267487,496.83788645267487,531.0,1.0
60000,2.0448647,2.158348,494.4091596007347,494.4091596007347,538.0,1.0
61000,2.099716,1.3036754,27.549619793891907,27.549619793891907,999.0,1.0
62000,2.0764794,0.5257279,-122.11574959754944,-122.11574959754944,581.0,1.0
63000,2.0279546,1.1997094,1090.5771980285645,1090.5771980285645,999.0,1.0
64000,2.0629005,0.59918845,-187.49072074890137,-187.49072074890137,999.0,1.0
65000,2.1483371,1.7709966,438.8227664232254,438.8227664232254,54.0,1.0
66000,2.1542237,0.75557125,634.595084031423,634.595084031423,370.0,1.0
67000,2.1186552,2.3452907,443.14911264181137,443.14911264181137,803.5,1.0
68000,2.0609639,1.4195287,417.55854988098145,417.55854988098145,547.5,1.0
69000,2.0483692,3.294931,-160.87079668045044,-160.87079668045044,999.0,1.0
70000,1.9696808,3.097784,430.998458981514,430.998458981514,547.0,1.0
71000,2.0508945,1.4395931,-87.83088397979736,-87.83088397979736,999.0,1.0
72000,1.838701,5.1720676,59.24824619293213,59.24824619293213,999.0,1.0
73000,2.0555463,-0.4467791,-104.92684996128082,-104.92684996128082,999.0,1.0
74000,1.91503,-1.2809649,31.938801288604736,31.938801288604736,999.0,1.0
75000,2.1236334,0.580024,-178.55125844478607,-178.55125844478607,999.0,1.0
76000,2.1212046,-1.2053123,-39.94529485702515,-39.94529485702515,999.0,1.0
77000,2.0338705,0.2592232,-52.36219334602356,-52.36219334602356,999.0,1.0
78000,2.10507,0.38702163,1096.1803016662598,1096.1803016662598,88.0,1.0
79000,2.129436,0.56907856,-147.65785586833954,-147.65785586833954,999.0,1.0
80000,2.1011555,-0.7734135,445.5899956226349,445.5899956226349,533.5,1.0
81000,2.0666306,-0.09966858,461.02536022663116,461.02536022663116,558.5,1.0
82000,2.0969412,0.051525384,-179.79033756256104,-179.79033756256104,999.0,1.0
83000,2.0550013,1.3204854,-162.78177952766418,-162.78177952766418,999.0,1.0
84000,2.0032134,-0.04841155,-248.72982668876648,-248.72982668876648,999.0,1.0
85000,2.0489895,-0.585684,-115.6224365234375,-115.6224365234375,999.0,1.0
86000,2.0106802,0.173484,555.776072204113,555.776072204113,561.5,1.0
87000,1.972238,3.6604714,-172.68031072616577,-172.68031072616577,999.0,1.0
88000,2.0332181,3.3963497,-25.572679042816162,-25.572679042816162,999.0,1.0
89000,2.0849714,1.1203102,-214.140775680542,-214.140775680542,999.0,1.0
90000,2.0871875,0.9703629,-208.6502766609192,-208.6502766609192,999.0,1.0
91000,2.0618887,0.6131495,448.7731989622116,448.7731989622116,579.5,1.0
92000,2.0494547,1.2197167,559.5886273384094,559.5886273384094,562.0,1.0
93000,2.0252028,1.2048241,606.6075275739034,606.6075275739034,334.6666666666667,1.0
94000,2.0049565,-0.67580235,-35.55340397357941,-35.55340397357941,999.0,1.0
95000,2.0502505,-1.2320511,-146.52787351608276,-146.52787351608276,999.0,1.0
96000,2.0720942,0.9835424,686.8604119618734,686.8604119618734,371.3333333333333,1.0
97000,2.0816672,1.214548,1034.245394706726,1034.245394706726,858.0,1.0
98000,2.105933,-1.2165921,1043.2618992328644,1043.2618992328644,412.0,1.0
99000,2.0944645,0.8660071,633.3228774865469,633.3228774865469,584.6666666666666,1.0
100000,2.0374856,3.0618215,1030.660445690155,1030.660445690155,180.33333333333334,1.0
101000,2.0379925,1.927397,687.2927898168564,687.2927898168564,387.3333333333333,1.0
